index,ipc,cpu energy,dram energy,total energy,total time
1,1.2865428686141969,228088.2,14526.2,242614.4,0.03433017730712886
2,1.5406087160110473,28149.6,976.2,29125.8,0.00205602645874018
3,1.5702663660049438,24023.4,1001.0,25024.4,0.0019046783447265203
4,1.5911332845687867,23486.0,854.8,24340.8,0.0018751144409179202
5,1.5876652956008912,24731.4,842.2,25573.6,0.00186066627502436
6,1.5668946266174317,23412.6,817.6,24230.2,0.00188374519348138
7,1.589298915863037,24084.4,842.8,24927.2,0.0018696784973144
8,1.5918469667434691,26806.4,781.0,27587.4,0.0018680095672607
9,1.5987719774246216,23205.4,805.6,24011.0,0.0018510818481445
10,1.6005563974380492,22350.6,842.4,23193.0,0.0018486976623534601
11,1.599132204055786,23046.8,891.0,23937.8,0.00185713768005366
12,1.5989188194274901,22509.8,818.0,23327.8,0.0018588066101073602
13,1.6041490316390992,23474.0,732.4,24206.4,0.00184464454650874
14,1.5943880081176758,23315.4,866.4,24181.8,0.0018536567687987798
15,1.4760563254356385,34399.6,1843.2,36242.8,0.00209517478942866
16,1.5045432567596435,26855.4,1464.8,28320.2,0.00201096534728998
17,1.528905463218689,26599.0,1867.2,28466.2,0.00195116996765132
18,1.543256950378418,24292.0,1391.4,25683.4,0.0019334316253661397
19,1.543636155128479,25036.4,1404.0,26440.4,0.00193791389465326
20,1.5393275976181031,23767.0,1501.4,25268.4,0.0019329547882079399
21,1.5717506647109984,24169.6,1355.2,25524.8,0.0018928527832030601
22,1.6053613662719726,20446.8,818.2,21265.0,0.0018443107604980001
23,1.6024445295333862,21679.4,903.6,22583.0,0.001860761642456
24,1.588265609741211,23217.8,988.4,24206.2,0.0018679618835448799
25,1.584305739402771,24145.4,976.2,25121.6,0.0018692493438719998
26,1.5612836122512816,25452.0,1159.6,26611.6,0.0018918991088866803
27,1.5920561790466308,20886.2,793.6,21679.8,0.00187172889709468
28,1.5668979167938233,27905.4,1159.6,29065.0,0.00190057754516594
29,1.591674566268921,22607.6,830.0,23437.6,0.0018522739410399998
30,1.5471258163452148,24548.0,1270.0,25818.0,0.0019256591796874601
31,1.4723476409912108,26342.6,1733.4,28076.0,0.0020539283752441
32,1.5435518503189087,29773.0,2282.4,32055.4,0.00193896293640132
33,1.5589040756225585,23962.2,1318.4,25280.6,0.00190105438232416
34,1.575053071975708,21631.0,1074.0,22705.0,0.0018699169158934998
35,1.5446154356002808,25488.0,1232.6,26720.6,0.0019126415252684998
36,1.5409778118133546,33691.4,2014.2,35705.6,0.00192847251892082
37,1.5773717641830445,21960.6,1074.2,23034.8,0.0018739700317382199
38,1.5838351488113402,24890.2,988.8,25879.0,0.00185985565185544
39,1.593352770805359,23144.4,988.8,24133.2,0.00184941291809076
40,1.5836008787155151,23571.8,952.2,24524.0,0.00186543464660642
41,1.560127568244934,25512.6,1123.2,26635.8,0.00190992355346676
42,1.548033881187439,23852.8,1013.0,24865.8,0.0019093990325927397
43,1.573333501815796,21581.6,927.6,22509.2,0.0018811702728270998
44,1.5477057695388794,24097.0,1025.4,25122.4,0.0019164562225341402
45,1.576735830307007,21069.6,891.2,21960.8,0.00187711715698238
46,1.5598811388015748,22802.4,964.6,23767.0,0.00189113616943354
47,1.5820236206054688,18945.4,988.8,19934.2,0.0018644809722899998
48,1.591911792755127,22851.4,988.6,23840.0,0.00186295509338374
49,1.5952783107757569,23730.6,1037.6,24768.2,0.00185689926147454
50,1.5453680753707886,26147.2,1330.8,27478.0,0.0019336700439452602
51,1.5820110082626342,22411.8,915.8,23327.6,0.00187053680419916
52,1.5911762475967408,24328.6,988.8,25317.4,0.0018544673919676999
53,1.4277649879455567,31897.0,1928.8,33825.8,0.00215501785278314
54,1.4556454420089722,23169.0,1769.6,24938.6,0.0020588874816894203
55,1.4994407415390014,25903.2,1964.8,27868.0,0.00198736190795894
56,1.3957789182662963,30480.8,2575.4,33056.2,0.00215301513671868
57,1.3740436553955078,33667.2,3063.8,36731.0,0.00217337608337398
58,1.3949312686920166,32031.2,3234.8,35266.0,0.00213379859924312
59,1.4492156505584717,30017.2,2771.2,32788.4,0.00205516815185542
60,1.457123351097107,31176.8,2771.0,33947.8,0.0020424842834472
61,1.4223236083984374,31335.2,3039.2,34374.4,0.0020971298217772596
62,1.4212896347045898,33507.8,3430.2,36938.0,0.00209436416625972
63,1.3814093112945556,31372.0,2917.2,34289.2,0.00215125083923336
64,1.4191555976867676,31665.0,2782.8,34447.8,0.00209283828735348
65,1.4256728172302247,31823.8,2893.0,34716.8,0.00208253860473628
66,1.4154101848602294,34094.0,2929.6,37023.6,0.00210528373718256
67,1.413153886795044,30151.6,2929.6,33081.2,0.0021086692810058203
68,1.3757685661315917,36413.4,3698.8,40112.2,0.00216155052185054
69,1.4328580856323243,30834.8,3039.6,33874.4,0.00207371711730952
70,1.4713521957397462,33459.8,2673.4,36133.2,0.0020251274108886398
71,1.4329286098480225,31897.0,2710.0,34607.0,0.00207295417785642
72,1.369628667831421,35534.8,3259.6,38794.4,0.0021713256835937202
73,1.3961982250213623,30273.4,2807.6,33081.0,0.00213222503662106
74,1.4088510751724244,29077.2,2587.6,31664.8,0.00211935043334954
75,1.4486851692199707,32495.0,3027.4,35522.4,0.00207147598266596
76,1.4578510999679566,30859.6,2453.4,33313.0,0.0020408630371093204
77,1.4384310483932494,29968.2,2514.6,32482.8,0.00207457542419428
78,1.458215022087097,34155.0,3039.4,37194.4,0.0020379066467284797
79,1.4645246505737304,31006.0,2404.6,33410.6,0.00203151702880854
