index,ipc,cpu energy,dram energy,total energy,total time
1,1.285912275314331,209656.0,17639.0,227295.0,0.030832767486572266
2,1.567092776298523,23133.0,1587.0,24720.0,0.0020503997802734375
3,1.5416322946548462,26367.0,1831.0,28198.0,0.0019888877868652344
4,1.5776817798614502,25695.0,1282.0,26977.0,0.0019099712371826172
5,1.5887928009033203,25879.0,1282.0,27161.0,0.0018532276153564453
6,1.5883644819259644,21240.0,1098.0,22338.0,0.0018761157989501953
7,1.6121631860733032,22644.0,1038.0,23682.0,0.0018467903137207031
8,1.5936552286148071,20935.0,976.0,21911.0,0.0019016265869140625
9,1.586465835571289,19775.0,1038.0,20813.0,0.0018699169158935547
10,1.5827243328094482,22338.0,1160.0,23498.0,0.001889944076538086
11,1.5824216604232788,22339.0,1099.0,23438.0,0.0018832683563232422
12,1.5797808170318604,23804.0,1038.0,24842.0,0.0019202232360839844
13,1.6163259744644165,22827.0,549.0,23376.0,0.0018312931060791016
14,1.613295555114746,23010.0,916.0,23926.0,0.0018246173858642578
15,1.6005805730819702,26001.0,1037.0,27038.0,0.0018804073333740234
16,1.5676006078720093,25940.0,1343.0,27283.0,0.0019195079803466797
17,1.3473927974700928,37781.0,5065.0,42846.0,0.002236604690551758
18,1.5847859382629395,23316.0,1525.0,24841.0,0.0018668174743652344
19,1.5484492778778076,23071.0,1465.0,24536.0,0.001943826675415039
20,1.5937848091125488,21668.0,1526.0,23194.0,0.0018699169158935547
21,1.5593816041946411,21851.0,1465.0,23316.0,0.0019297599792480469
22,1.6023695468902588,21729.0,916.0,22645.0,0.0018544197082519531
23,1.592860460281372,22461.0,1038.0,23499.0,0.001889944076538086
24,1.6096614599227905,20264.0,915.0,21179.0,0.0018482208251953125
25,1.5813682079315186,23376.0,976.0,24352.0,0.0018873214721679688
26,1.5456069707870483,26306.0,1465.0,27771.0,0.0019087791442871094
27,1.598282814025879,24231.0,1037.0,25268.0,0.0018954277038574219
28,1.4523202180862427,38024.0,2502.0,40526.0,0.0020742416381835938
29,1.5792678594589233,24841.0,1160.0,26001.0,0.0018618106842041016
30,1.5998984575271606,22155.0,794.0,22949.0,0.0018680095672607422
31,1.345005750656128,23254.0,1221.0,24475.0,0.002274036407470703
32,1.4822697639465332,39612.0,5065.0,44677.0,0.002027750015258789
33,1.560479760169983,24597.0,1343.0,25940.0,0.0018832683563232422
34,1.5847982168197632,20752.0,1160.0,21912.0,0.0018587112426757812
35,1.5071595907211304,26611.0,1587.0,28198.0,0.0019519329071044922
36,1.5633381605148315,22339.0,1099.0,23438.0,0.0018877983093261719
37,1.552522897720337,25086.0,1160.0,26246.0,0.0018928050994873047
38,1.5035253763198853,26123.0,1221.0,27344.0,0.001953125
39,1.5695430040359497,24841.0,1160.0,26001.0,0.0018737316131591797
40,1.583556890487671,23621.0,1038.0,24659.0,0.0018634796142578125
41,1.5861448049545288,24536.0,916.0,25452.0,0.0018591880798339844
42,1.4585371017456055,29847.0,1831.0,31678.0,0.0020143985748291016
43,1.564578890800476,11230.0,488.0,11718.0,0.0018842220306396484
44,1.5815808773040771,21790.0,915.0,22705.0,0.001878976821899414
45,1.5915595293045044,14710.0,550.0,15260.0,0.0018532276153564453
46,1.5687757730484009,21606.0,916.0,22522.0,0.0018718242645263672
47,1.5909730195999146,13489.0,611.0,14100.0,0.0018465518951416016
48,1.595990777015686,21972.0,977.0,22949.0,0.0018584728240966797
49,1.5751075744628906,23621.0,1282.0,24903.0,0.0018734931945800781
50,1.3613446950912476,37048.0,2930.0,39978.0,0.0022215843200683594
51,1.5406502485275269,12634.0,916.0,13550.0,0.0019104480743408203
52,1.592507243156433,25330.0,1526.0,26856.0,0.0018432140350341797
53,1.5950844287872314,21057.0,1404.0,22461.0,0.0018761157989501953
54,1.588266134262085,10803.0,549.0,11352.0,0.0018663406372070312
55,1.5822950601577759,25452.0,1159.0,26611.0,0.0018570423126220703
56,1.5795505046844482,10925.0,976.0,11901.0,0.0018610954284667969
57,1.2309480905532837,31678.0,2441.0,34119.0,0.002428770065307617
58,1.3342281579971313,30823.0,3174.0,33997.0,0.0022301673889160156
59,1.447360634803772,25086.0,1831.0,26917.0,0.0020644664764404297
60,1.4878734350204468,23621.0,1892.0,25513.0,0.001993894577026367
61,1.4453378915786743,24414.0,2502.0,26916.0,0.0020585060119628906
62,1.4650218486785889,26916.0,2441.0,29357.0,0.0020177364349365234
63,1.3879128694534302,34607.0,3234.0,37841.0,0.0021402835845947266
64,1.4964123964309692,28320.0,1587.0,29907.0,0.0019707679748535156
65,1.5018104314804077,27954.0,2380.0,30334.0,0.0019712448120117188
66,1.4736452102661133,24780.0,2197.0,26977.0,0.0020084381103515625
67,1.4609793424606323,27527.0,2808.0,30335.0,0.0020492076873779297
68,1.413630723953247,28076.0,2929.0,31005.0,0.0020880699157714844
69,1.4359837770462036,30883.0,2869.0,33752.0,0.002051115036010742
70,1.4800692796707153,46265.0,2624.0,48889.0,0.0019998550415039062
71,1.4788548946380615,28015.0,2320.0,30335.0,0.002002239227294922
72,1.4495128393173218,27283.0,2503.0,29786.0,0.002053499221801758
73,1.4267704486846924,26977.0,2685.0,29662.0,0.002082347869873047
74,1.4499422311782837,29114.0,2929.0,32043.0,0.0020568370819091797
75,1.498382806777954,27282.0,3601.0,30883.0,0.001979827880859375
76,1.4893335103988647,28137.0,2197.0,30334.0,0.001984119415283203
77,1.4657785892486572,32287.0,2625.0,34912.0,0.0020346641540527344
78,1.4501073360443115,33386.0,3906.0,37292.0,0.0020508766174316406
