pred,true
35878.71765593067,45776.2
47582.73958264117,53173.8
45777.488257895806,35656.8
42098.15035167511,46118.4
39578.33617155536,43554.8
43247.45508014213,48156.6
37439.16302803083,46032.8
41101.509911070636,43066.4
36526.32058472658,46239.8
36887.50784187819,43102.8
42404.08630383221,36816.4
39070.78671119918,44164.8
33661.26610384963,33825.4
28490.023260851944,28515.4
37262.498504293646,40466.4
32286.899590183195,37829.4
35731.0298647467,25512.6
45849.99880705032,54467.4
36209.631409679656,37634.4
34482.139785151114,45287.8
34553.22942812703,38415.6
29215.501158384577,30859.6
37710.39650557653,37622.0
36744.690145662025,44128.4
36973.05481729843,45471.2
34490.34380038819,38647.4
34127.74672056953,21960.6
36903.871538306266,28173.8
35498.20518806923,37683.0
42413.57822310951,43151.4
43846.928968454944,41638.0
40121.18661614577,43188.4
39422.883272190986,41051.8
47903.70920984229,34045.2
41492.42979626203,42431.4
53890.8470207606,60559.0
31510.619309185568,33093.2
38919.77608325743,26928.6
42077.7655572627,28418.2
34641.975104975805,37048.4
37798.53480599326,31030.0
35265.735183760844,30981.4
45984.21569831649,59753.2
46550.609738106374,51952.8
38344.46646679001,31432.6
38131.12882009073,27746.4
47246.62766198293,63488.6
42278.76060551824,32214.2
47096.25766100784,48486.4
41275.14420275454,37744.2
41840.69367896562,40161.0
39220.08826166243,46740.8
31901.807415356074,24658.2
47390.615777017025,51525.8
33182.2655525014,23437.4
33869.352382784244,33740.4
42918.52970836224,34252.8
34851.985481512704,35937.4
38397.65845534159,36035.4
36254.69696757491,37487.6
39220.32544880925,45141.6
32201.36148157218,22753.6
34269.60680138919,32055.6
40176.398020498804,33984.2
41916.021656751924,49486.6
49033.71311132485,51733.2
33670.55630321696,23474.2
39198.3468454383,27282.4
48550.11068598798,33459.6
46767.52514232864,37048.0
37223.6884803079,41027.6
40378.168914561655,30651.4
47031.91565985355,48656.8
41420.56652418111,50378.4
45955.49166982624,53857.4
40578.02014442693,46777.2
33503.46128333782,26550.2
39050.90289150807,27185.0
36471.986994487,40002.4
39973.15301940194,43994.2
45998.40480978167,48705.8
36606.80017867367,27489.8
41123.05182408716,28393.6
44549.94502151376,30505.2
39431.33334138416,38561.6
32291.13349158902,30456.6
45679.32824635049,33691.6
37921.4332152814,31140.0
37932.44800904341,34765.6
37225.546076840954,45104.8
43280.09158820374,50744.4
44347.934723601764,53539.6
37219.94668681416,27307.0
32926.76179452409,43835.6
34373.226550715975,46166.8
30675.9067553833,30725.0
36530.6941383777,32824.2
46775.25034986751,40051.0
35260.45278216398,36743.2
43098.8229737755,48461.8
41963.36376791613,45300.2
35909.14411179244,30224.4
33481.30312708003,33447.0
36230.186890169716,40258.6
28167.111802430154,29028.6
38559.845696313714,28296.0
37626.04876610421,37866.2
40890.431084021926,49511.8
37173.274019746605,25488.0
34759.99898589152,32275.4
35750.481427488005,30859.2
36386.2094820269,31713.8
47746.27457861573,29821.8
33370.06235522282,35534.6
43941.94126272481,50378.4
28724.497164045606,28759.8
29430.85378748062,31335.2
43321.59933889672,48779.2
42987.09231070854,47778.0
39879.93847070285,26110.8
43841.91257113489,52148.2
37616.89378557753,38024.4
43035.67134175988,34240.6
33705.405080180615,27453.6
43554.623518781766,40685.8
37724.44596479638,42651.2
32123.34464388783,26000.6
41260.999425335496,31335.2
36512.79648395337,36877.2
35803.3431273959,48095.8
37888.754589876015,39379.8
47239.65613322836,53381.0
34220.98343629172,36779.6
36953.35941730338,36450.2
41410.00172098735,27648.8
37304.227925217274,27612.4
50463.064925709,34851.0
46148.382454448496,51770.0
33088.042404252745,34802.4
