index,ins,cycles,ipc,cpu energy,dram energy,total energy
1,3593971.7,2923717.5,1.243016869433189,0.0209411,0.0021301999999999996,0.023071300000000003
2,3559104.1,2768705.4,1.2855882495344209,0.008947800000000002,0.00040280000000000003,0.009350600000000002
3,3542590.6,2748102.4,1.2891242569277277,0.014776500000000001,0.0003907,0.0151672
4,3534763.4,2750650.8,1.2850800036900434,0.0079347,0.0003418,0.008276500000000001
5,3533745.6,2746183.0,1.2867940482729294,0.006323199999999999,0.0003662,0.0066894
6,3535161.0,2753482.9,1.2838946302762,0.0089111,0.00035400000000000004,0.009265099999999998
7,3534560.3,2758203.3,1.2815159911326928,0.012969900000000001,0.00042100000000000004,0.0133909
8,3538818.5,2753432.5,1.2852481759003742,0.0075804999999999996,0.0003784,0.007958900000000001
9,3541823.9,2761249.9,1.2827062904638082,0.0159607,0.00036020000000000003,0.0163209
10,3548035.9,2771338.4,1.280273841003432,0.008044399999999998,0.00035999999999999997,0.0084044
11,3549063.4,2772753.0,1.2799896618342324,0.0029846,0.0004516,0.0034361999999999995
12,3674593.8,2851359.0,1.2887700775072106,0.0049073,0.0003967,0.005304
13,3599723.2,2873373.3,1.2541343582115774,0.0121216,0.0007080000000000001,0.0128296
14,3598791.9,3061914.5,1.176326385402095,0.0121337,0.0016844999999999998,0.0138182
15,3598307.0,3066404.8,1.174606307601306,0.006915200000000001,0.0020264,0.0089416
16,3599842.1,3125463.9,1.1531740705089728,0.012975999999999998,0.0020201999999999998,0.014996199999999998
17,3621295.8,3084764.6,1.1740742196821947,0.007592699999999999,0.0017211999999999998,0.0093139
18,3624076.6,3095581.3,1.171177976409195,0.017663599999999995,0.0017455,0.0194091
19,3636390.2,3119472.3,1.1660956508534788,0.013311800000000002,0.0016418000000000001,0.014953600000000001
20,3641019.4,3154967.9,1.1554743149178737,0.018206800000000002,0.0019654,0.020172199999999998
21,3641048.9,2923642.0,1.2454361603456614,0.007788099999999999,0.0011963,0.0089844
22,3666631.4,2914539.6,1.2580964493674793,0.006591700000000001,0.0007324,0.0073241
23,3667244.6,2926209.2,1.2532713759591687,0.00896,0.0005859000000000001,0.0095459
24,3676198.1,2969304.3,1.2394945625173477,0.014685,0.0008361,0.015521100000000001
25,3668410.4,2914590.3,1.2586459225936084,0.0147827,0.0005982,0.015380900000000003
26,3624061.8,2883168.3,1.257004564793506,0.0077331,0.0005921,0.0083252
27,3622728.6,2877305.8,1.2590831107013227,0.0099426,0.00046380000000000005,0.0104064
28,3680105.8,3112751.5,1.1884160629835179,0.011444000000000003,0.0011475,0.012591500000000002
29,3687615.9,3163725.6,1.1667351788894305,0.021405,0.0018066000000000002,0.0232116
30,3694794.6,3197066.8,1.1590193110497307,0.020184300000000002,0.0021728999999999997,0.0223572
31,3699354.6,3150040.5,1.1758093864472343,0.0127075,0.0020263,0.014733800000000002
32,3702403.7,3118711.8,1.1880546310574933,0.0192443,0.0016479,0.020892199999999996
33,3727081.5,3101212.0,1.2027859379704935,0.0155333,0.0019531,0.0174864
34,3740204.8,3148285.4,1.189951381084081,0.0151306,0.0016722999999999998,0.0168029
35,3755740.7,3132973.7,1.2010505888518757,0.013806100000000002,0.0016724000000000003,0.015478500000000001
36,3762736.3,2967767.6,1.267974287505336,0.0070739999999999996,0.0008179000000000001,0.007891900000000002
37,3769475.1,2964791.7,1.2715047585450576,0.0080871,0.000592,0.0086791
38,3776403.3,2958151.1,1.276621157504971,0.0053039,0.0005372,0.0058411
39,3782154.7,2967533.2,1.274596473677669,0.0165161,0.00046380000000000005,0.0169799
40,3792289.5,2959085.7,1.28159496121138,0.0031738,0.00035409999999999993,0.0035279000000000005
41,3799409.6,2963224.0,1.282199383311065,0.014074699999999999,0.0003601,0.014434799999999998
42,3706000.9,2915994.7,1.2709734047707728,0.013519300000000001,0.0003601,0.0138794
43,3710725.3,3184358.8,1.1685854334037613,0.013568,0.0016174999999999998,0.015185500000000001
44,3717429.4,3201300.8,1.1626490118518873,0.0166809,0.00177,0.0184509
45,3743672.5,3214224.5,1.1666357329078652,0.010015800000000002,0.0018737999999999997,0.0118896
46,3751172.1,3179337.8,1.1804964880352746,0.014068499999999998,0.0017822,0.0158507
47,4360856.4,3480189.4,1.2542589682523109,0.018768299999999998,0.0020263,0.0207946
48,4349799.0,3466235.4,1.2555134835769972,0.0153198,0.0019348,0.0172546
49,4401575.2,3531346.3,1.2487232656938654,0.013507,0.0020569,0.0155639
50,4371279.7,3193680.7,1.370015654676203,0.0136353,0.0011902,0.0148255
51,4390096.1,3145841.1,1.3955344761297015,0.0040832,0.0006409,0.0047241
52,4391515.8,3165013.4,1.3877837580874286,0.004663199999999999,0.0005797999999999999,0.005243
53,4762191.2,3307591.0,1.4399460995441762,0.010064599999999998,0.0005127,0.010577299999999998
54,4433613.2,3202064.1,1.385772303069766,0.0115112,0.0005799000000000001,0.012091099999999999
55,4454460.6,3209665.1,1.3883076232695268,0.007373099999999999,0.0008667,0.008239799999999999
56,4444371.5,3244447.2,1.3712084440768864,0.011267099999999999,0.0008422999999999998,0.0121094
57,4476514.4,3616057.2,1.2420511543744432,0.0203674,0.0019776000000000004,0.022344999999999997
58,4597752.9,3606679.2,1.2762993308727328,0.018756099999999998,0.0020019,0.020758
59,4476428.8,3541106.9,1.264897149844407,0.014495799999999998,0.0021728,0.0166686
60,4505545.7,3515551.1,1.2821608485578082,0.015447999999999995,0.0018432999999999998,0.017291300000000003
61,4655033.8,3607612.7,1.2907012636725455,0.0257324,0.0019714,0.0277038
