index,ins,cycles,ipc,cpu energy,dram energy,total energy
1,1382481.7,1369655.5,1.0349485715536588,0.014343299999999998,0.0012328999999999999,0.015576199999999998
2,1361874.2,1262541.5,1.0792773879749462,0.0059569,0.0001527,0.006109600000000001
3,1340851.4,1246220.5,1.075966543014329,0.000995,0.000116,0.001111
4,1340958.0,1242106.4,1.079619906125546,0.0055297,7.94e-05,0.0056091000000000005
5,1338991.5,1248222.9,1.073151523532095,0.0084289,0.00020749999999999995,0.008636399999999999
6,1334786.1,1251385.9,1.0666731804882452,0.0006226,0.0001709,0.0007935000000000002
7,1333834.4,1244266.4,1.0720062771438694,0.004693600000000001,0.00014649999999999998,0.0048401
8,1333450.5,1299312.0,1.0306364605433822,0.005248999999999999,0.0002136,0.0054626
9,1333409.6,1247708.8,1.0687159471315024,0.0016541,0.00017089999999999998,0.0018250000000000002
10,1332303.0,1242011.2,1.0727187194014594,0.0037719000000000003,0.00017089999999999998,0.003942800000000001
11,1330290.3,1248874.3,1.065521047158086,0.0083069,0.00017700000000000002,0.008483899999999999
12,1330100.4,1247607.1,1.0661683113791323,0.006836,0.0001954,0.0070314
13,1330006.3,1240733.0,1.071967353087449,0.0055358,0.0001404,0.0056762
14,1329605.5,1248921.2,1.0649319623632,0.0040527,0.000177,0.0042297
15,1330253.3,1244263.8,1.0691253451932392,0.0067749,0.0001953,0.0069702
16,1330249.0,1246317.1,1.0673613980120455,0.0011902,0.00019529999999999998,0.0013855
17,1329020.3,1254553.5,1.0596573646814058,0.003918400000000001,0.00014649999999999998,0.004064900000000001
18,1322785.7,1255869.6,1.0533146115234389,0.0035949999999999997,0.00017089999999999998,0.0037659
19,1322750.4,1253085.1,1.0556077979175886,0.0060852,0.0001953,0.0062805
20,1321942.1,1260425.2,1.049134799933215,0.0047058000000000004,0.00020139999999999996,0.0049072
21,1322185.6,1251667.3,1.0563782020900967,0.0014221000000000001,0.0001771,0.0015991999999999998
22,1321449.3,1248252.5,1.058662527346591,0.0073121,0.0001465,0.0074586
23,1321462.2,1259128.7,1.0499106878213273,0.0014709000000000002,0.0001648,0.0016357
24,1322072.3,1252475.8,1.0556047516374663,0.0016174000000000002,0.00020140000000000002,0.0018188
25,1322110.6,1259875.4,1.0495527349678937,0.0047913,0.0001769,0.004968200000000001
26,1317906.9,1347207.8,0.9876650329570109,0.0013123000000000002,0.00026849999999999997,0.0015807999999999998
27,1308495.3,1605742.0,0.8562948062913387,0.0022522,0.0009522,0.0032043999999999996
28,1308435.5,1470356.6,0.9140375915367377,0.0068054000000000005,0.0005981000000000001,0.0074035
29,1309484.4,1535472.2,0.8804420700209945,0.0053040000000000006,0.0013306,0.0066346
30,1310053.3,1508075.0,0.8916948622773656,0.0017639,0.0007934,0.0025572999999999998
31,1311049.4,1612125.1,0.8391396287521544,0.012176500000000002,0.0013977,0.0135742
32,1311304.8,1501534.6,0.8963433835711919,0.0033081,0.0006041999999999999,0.0039123000000000005
33,1311774.3,1554131.1,0.8603941781269129,0.007721,0.0011108,0.0088318
34,1311465.6,1475684.3,0.9126913127469525,0.0072631000000000015,0.0008301000000000001,0.008093200000000002
35,1307238.7,1562360.5,0.8541144476586071,0.0040406,0.0010742000000000002,0.0051148
36,1306017.3,1484810.7,0.9041410290702692,0.0016357999999999998,0.0006775,0.0023133
37,1305814.3,1446016.5,0.9219811162231742,0.0116272,0.0009155,0.0125427
38,1306220.1,1458566.6,0.9203702180541329,0.010467500000000001,0.0006103,0.011077800000000002
39,1306856.2,1483048.1,0.8995181460164998,0.0020326,0.0010193000000000001,0.0030519
40,1306706.9,1252056.5,1.0437140862752368,0.0013548999999999998,0.0005981000000000001,0.0019529999999999999
41,1307196.1,1248735.3,1.0468406275390956,0.0007752,0.00031130000000000003,0.0010865000000000002
42,1307743.0,1260163.2,1.0382080621794298,0.0079589,0.0003296,0.0082885
43,1307835.8,1245291.9,1.0502563867439914,0.005236800000000001,0.00026849999999999997,0.005505299999999999
44,1308407.3,1249210.1,1.0474029047491824,0.0010864,0.0002564,0.0013428
45,1308683.3,1255970.9,1.042051263789083,0.0014527,0.0003234,0.0017761000000000003
46,1308338.9,1248336.0,1.0480890644351004,0.0038757,0.00025029999999999996,0.004126
47,1308855.8,1250476.8,1.0467047411297963,0.0016235000000000004,0.0002686,0.0018921
48,1309468.3,1264225.2,1.0359694382858067,0.0035645000000000004,0.00031729999999999996,0.003881799999999999
49,1309474.3,1249488.1,1.0480385087492148,0.0088378,0.000232,0.0090698
50,1309391.9,1248374.5,1.048904596446025,0.0012269,0.0002075,0.0014344000000000002
51,1309458.9,1261030.7,1.0387232885564095,0.0059264999999999995,0.0001343,0.0060608
52,1307384.3,1249547.0,1.046307237239023,0.0075195,0.0001709,0.007690399999999998
53,1307401.9,1249014.6,1.046770629589361,0.0041259,0.0001831,0.004309
54,1307578.4,1527361.0,0.8799178062370878,0.0077637,0.0006042,0.008367900000000001
55,1307750.5,1361289.6,0.969807021849363,0.0015747,0.0007752,0.0023499000000000003
56,1308082.3,1357253.4,0.9681438835215757,0.0015198,0.0007386000000000001,0.0022584
57,1308442.3,1320882.4,0.9922012530931615,0.0098084,0.0007446,0.010553
58,1308504.6,1299454.2,1.0084610576270372,0.0105163,0.0006774,0.011193699999999997
59,1308441.0,1354546.8,0.9701226478543459,0.0015076,0.0008789,0.0023864999999999997
60,1308947.6,1313149.2,0.9988757420917544,0.011913999999999998,0.0007203,0.012634299999999998
61,1308572.6,1302058.3,1.0054693700218678,0.011907899999999999,0.0007874000000000001,0.012695300000000003
