index,ins,cycles,ipc,cpu energy,dram energy,total energy
1,2291118.4,2548287.5,0.915115675064758,0.035546799999999996,0.0028808,0.0384276
2,2275588.7,2393021.2,0.9559197393305411,0.0073303,0.000348,0.007678300000000001
3,2277524.6,2343371.3,0.9721401681671749,0.0106872,0.00032960000000000004,0.011016800000000002
4,2271054.1,2314698.2,0.9811513395537819,0.0034668000000000004,0.00029909999999999995,0.0037659
5,2267940.9,2328167.7,0.9742785736459135,0.0168578,0.00032350000000000006,0.017181300000000004
6,2268567.6,2349989.0,0.9661901626212608,0.0023133,0.000415,0.0027283000000000003
7,2270368.0,2324475.2,0.9767865443501492,0.017516999999999998,0.0003601,0.017877100000000003
8,2270331.5,2317058.0,0.9798518459092405,0.0069763,0.00033570000000000003,0.007312000000000001
9,2271141.1,2330015.7,0.9749154682584639,0.011596600000000002,0.0003357,0.011932300000000003
10,2272658.6,2544019.0,0.9042040177118521,0.0123535,0.0005981999999999999,0.012951699999999997
11,2264616.2,2966824.7,0.800685508389414,0.0120667,0.0005493,0.012615999999999999
12,2262230.0,2376730.5,0.9540073916212481,0.007104400000000001,0.0003235,0.007427900000000001
13,2263696.5,2322782.4,0.9746022578401796,0.008624300000000001,0.00030519999999999994,0.008929500000000002
14,2265403.0,2832137.4,0.8258584082274281,0.006414800000000001,0.0010925000000000002,0.0075073
15,2261718.4,3420639.6,0.6805255999155901,0.016015599999999998,0.0030944999999999996,0.019110099999999998
16,2258631.8,3329692.0,0.6986705471135808,0.0104675,0.0031128,0.0135803
17,2260285.4,3362891.2,0.6970213607729606,0.013720699999999999,0.0032530999999999997,0.0169738
18,2257770.7,3356423.3,0.6896201958584346,0.024139300000000002,0.0026733,0.0268126
19,2259103.9,3264316.5,0.7091564107968436,0.0301818,0.0028626000000000003,0.03304440000000001
20,2260855.5,3257361.5,0.7123682892458552,0.027172700000000004,0.0031189,0.030291599999999995
21,2254924.0,3112273.1,0.7594886469691862,0.006915200000000001,0.0025573000000000006,0.009472499999999998
22,2247138.0,2447322.1,0.9184493692566583,0.013543699999999997,0.0011597,0.0147034
23,2248540.5,2409507.3,0.9332067596031541,0.014581299999999997,0.0006043,0.015185599999999999
24,2250652.7,2412799.6,0.93288076290241,0.0115234,0.0005126999999999999,0.012036100000000001
25,2252486.0,2435347.4,0.924984030726424,0.0055969,0.0006836,0.006280499999999999
26,2255092.2,2456996.2,0.9179222339164668,0.0154113,0.0008056000000000001,0.0162169
27,2255391.0,2439981.3,0.9243675657938178,0.0016173999999999997,0.0006836000000000001,0.002301
28,2257154.3,2456911.7,0.9189874738973686,0.005828799999999999,0.0006837000000000001,0.0065125
29,2259031.1,2451066.4,0.9216678562721974,0.014123500000000002,0.0006590999999999999,0.014782599999999996
30,2261179.6,2797790.8,0.8156583200304892,0.026837099999999996,0.002002,0.028839099999999996
31,2263864.1,2739251.4,0.8299865824483714,0.012176499999999998,0.0020813,0.014257800000000001
32,2265722.5,2823614.6,0.8058154172906246,0.028301899999999998,0.0029663000000000003,0.031268199999999996
33,2268070.9,2909830.3,0.7840943179940149,0.022167899999999997,0.0024780999999999996,0.024646
34,2269061.7,2882738.8,0.7904583635047714,0.0063903,0.0024658000000000006,0.0088561
35,2262651.0,2819933.6,0.8047300789025538,0.0236999,0.0026489,0.0263488
36,2263473.2,2880490.0,0.7925449902359383,0.0121948,0.0027893,0.0149841
37,2266420.4,2911826.3,0.7878787644355887,0.020623700000000002,0.0027771000000000002,0.023400800000000003
38,2266984.8,2567097.9,0.8902454851324559,0.0167541,0.0018249999999999998,0.0185791
39,2268824.2,2518976.8,0.905877712871231,0.023724299999999997,0.0015504,0.0252747
40,2271960.1,2496218.6,0.9126081092361267,0.0159668,0.0014464999999999999,0.017413299999999996
41,2273219.2,2403047.5,0.946154214762306,0.0173644,0.0011780000000000002,0.0185424
42,2274559.8,2517128.8,0.9077168622504563,0.009185800000000001,0.0017761000000000003,0.0109619
43,2277054.1,2413520.8,0.9437195055471852,0.0127075,0.0013672,0.0140747
44,2279391.4,2451187.2,0.9299627959775757,0.014861999999999997,0.0011841,0.0160461
45,2279962.1,2441238.4,0.9340803853458823,0.0033081,0.0007811999999999999,0.0040893
46,2281762.3,2456399.7,0.9292829766929641,0.014154000000000003,0.0010253999999999999,0.0151794
47,2283833.3,2688429.0,0.8518327296788891,0.0180786,0.0017762,0.019854799999999995
48,2285433.0,2747110.5,0.8332889669747228,0.0187622,0.0021056999999999994,0.0208679
49,2287640.9,2763199.3,0.8319647255341567,0.0136353,0.0020629000000000003,0.015698200000000002
50,2289249.3,2691186.5,0.8516851982682014,0.023345899999999996,0.0020874,0.025433300000000002
51,2290450.0,2722856.3,0.842864554292281,0.0034485,0.0021363000000000003,0.0055848
52,2286682.0,2705021.9,0.8489691578246665,0.018096900000000003,0.0020445999999999997,0.0201415
53,2285419.0,2804882.5,0.8224401179100285,0.0181274,0.0021117999999999996,0.020239200000000002
54,2287350.2,2672919.8,0.8584572739802887,0.0060486,0.0020019,0.008050499999999999
55,2289442.8,2469595.2,0.928663204618682,0.0142272,0.0011535999999999999,0.015380800000000003
56,2291101.5,2367459.4,0.9679062774686832,0.0068054000000000005,0.0006958000000000001,0.007501200000000001
57,2292959.7,2375216.9,0.9655467194259943,0.0105163,0.00046999999999999993,0.0109863
58,2295018.2,2359679.0,0.972660211683864,0.0021485000000000002,0.00043929999999999994,0.0025878
59,2296560.8,2368096.7,0.9699306517100696,0.0133606,0.0004638,0.0138244
