pred energy,true energy,pred co2,true co2
0.02763493258215253,0.060259900000000005,2.805536737590933e-06,6.1176687423055555e-06
0.01628163821879692,0.011267,1.6529345253586783e-06,1.143841488611111e-06
0.014625472778214363,0.006481899999999999,1.4847983096009585e-06,6.580514906388887e-07
0.017220002864567676,0.0189086,1.7481986074815556e-06,1.9196273339444444e-06
0.013708142944834177,0.007721,1.391669710846989e-06,7.838466436111111e-07
0.013006730622054343,0.0041259,1.3204613576545985e-06,4.188670984166666e-07
0.02411241095401567,0.0330993999999999,2.447925449511329e-06,3.3602970593888778e-06
0.018213397853790152,0.0091614,1.8490494465026842e-06,9.300780521666667e-07
0.026100237185386423,0.0475097,2.6497323293898538e-06,4.8232507296944446e-06
0.02147988962554136,0.0116943,2.180668227964994e-06,1.1872215780833332e-06
0.021568645678669944,0.0203308,2.189678865750904e-06,2.064011053222222e-06
0.01750385966771706,0.0270995,1.777016144382841e-06,2.7511788781944443e-06
0.014612415529337142,0.0047424,1.483472719559875e-06,4.814550346666666e-07
2.421564834938048,2.4031127,0.00024584062532740356,0.00024396733896052774
0.01591649341353492,0.014154,1.6158645175829168e-06,1.4369337383333332e-06
0.013009629153653418,0.0040527,1.320755620608275e-06,4.1143573274999994e-07
0.017240976120877154,0.0170348,1.7503278415916164e-06,1.7293965554444443e-06
0.013506978265885,0.0118407999999999,1.371247193244681e-06,1.2020944615555452e-06
7.286032350624195,7.4841971,0.0007396881237247441,0.0007598060843101944
0.01312631600048697,0.0089478,1.3326018313638823e-06,9.083930835e-07
0.9556295552020176,0.9760961,9.701683970737993e-05,9.909463176102778e-05
8.341648882679001,8.4408475,0.0008468557801930203,0.0008569265615993055
6.199531542424963,6.204982899999999,0.0006293850526474578,0.0006299384820398054
0.013027158606212928,0.0010558999999999,1.3225352349785782e-06,1.0719643452776761e-07
0.017620073529388786,0.011444,1.788814337027896e-06,1.1618107744444443e-06
0.023837458848473658,0.036444,2.42001192987878e-06,3.6998454966666666e-06
7.9485630080029175,8.0043924,0.0008069491562433006,0.0008126170336596667
0.023577594338302272,0.0650023,2.3936301238832495e-06,6.599123776972221e-06
0.02095828150305145,0.0245055,2.127713846914093e-06,2.4878323954166665e-06
0.020873886319971637,0.0246214999999999,2.1191459307122985e-06,2.4996088765277674e-06
0.021111607091765294,0.018573,2.1432796736325288e-06,1.8855567558333332e-06
0.014581725584861623,0.0105407,1.4803570337717975e-06,1.070106503861111e-06
0.013268352866103297,0.006732099999999899,1.3470216112346763e-06,6.834521421388785e-07
0.021261600309532277,0.0231688,2.1585071934241466e-06,2.352128754888889e-06
0.02381644808533463,0.034851,2.41787888802329e-06,3.5381219241666664e-06
0.07517477646277455,0.1027463,7.631847715912627e-06,1.0430947079194444e-05
0.02351940052027346,0.0413756,2.3877222066522174e-06,4.200508378111111e-06
0.01677232922417869,0.0107361,1.7027501577403207e-06,1.08994378325e-06
0.0135011215482722,0.0080506,1.3706526111382995e-06,8.173080933888888e-07
16.448729680864396,16.5776919,0.0016698978826592437,0.0016829903062600834
0.9607275105802721,0.9783056,9.753439121787391e-05,9.931894326977778e-05
0.021491692461304057,0.0250916,2.1818664682444505e-06,2.547334081444444e-06
5.906857935229081,5.9776764,0.0005996724215538108,0.0006068620104563333
0.022158645158879695,0.0201598,2.2495764324255206e-06,2.046650895722222e-06
0.021643791478193772,0.0239867,2.197307771687729e-06,2.435163098861111e-06
0.013212014458179556,0.0011292,1.3413020578144693e-06,1.1463795233333331e-07
0.021651500435245333,0.028924500000000002,2.198090395714488e-06,2.9364554129166665e-06
0.017032875546613528,0.013452,1.729201182263798e-06,1.365665723333333e-06
0.013117399913773515,0.0017395,1.3316966578572786e-06,1.765964559722222e-07
0.013307556785472241,0.010321,1.3510016475788994e-06,1.0478022547222223e-06
7.003372079117948,6.9830755,0.0007109920603777195,0.0007089315234759722
0.016986398492523227,0.0180908,1.7244827671810866e-06,1.836603142111111e-06
0.021486694591488952,0.0114319,2.1813590775593353e-06,1.1605823656388888e-06
0.01682560849986848,0.0043822999999999996,1.7081591438073422e-06,4.4489718252777767e-07
0.02466099953932185,0.057849000000000005,2.503618924620203e-06,5.872910825833333e-06
0.021654960044898742,0.0409728,2.1984416200915158e-06,4.159615562666666e-06
0.020842486876256748,0.0209167,2.1159582155760242e-06,2.1234924349722223e-06
0.014532769146018788,0.0027038,1.4753869081054188e-06,2.744935312777778e-07
0.07752997837382143,0.0820494,7.870951085035871e-06,8.329769045499999e-06
0.024261881702756984,0.0568541,2.463099927521809e-06,5.771907196027777e-06
0.038372615264389044,0.0467101,3.895641196939754e-06,4.7420742271388885e-06
0.01570432782280328,0.0225829,1.5943251721374095e-06,2.292647373138889e-06
0.024502281645631716,0.0650756,2.4875056636112615e-06,6.606565294777776e-06
0.013172221300634161,0.0016662,1.3372622011921864e-06,1.6915493816666664e-07
0.013061590874467333,0.0054748999999999,1.3260308466743604e-06,5.558194520277675e-07
0.014636072494960434,0.0088866999999999,1.4858744075668485e-06,9.021901266388786e-07
0.017326608345589238,0.0208983,1.7590213439780326e-06,2.1216244414166667e-06
0.046527838413367564,0.0380004,4.723570777722872e-06,3.857853386333333e-06
0.01762235247542406,0.0044310999999999,1.7890456987945996e-06,4.4985142630554533e-07
0.013187039256898785,0.005383299999999999,1.3387665406926658e-06,5.465200928055555e-07
0.013060104200395769,0.0070006999999999995,1.32587991745779e-06,7.107207871944443e-07
3.0929615652240026,3.0965130000000003,0.0003140017538814924,0.0003143623004725
0.013098478633044112,0.0029786,1.329775743158073e-06,3.0239160894444444e-07
