Total Instructions,Total Cycles,L1 Data Cache Misses,L1 Instruction Cache Misses,L2 Data Cache Misses,L2 Instruction Cache Misses,L1 Cache Misses,L2 Cache Misses,L3 Load Misses,Data TLB Misses,Ins TLB Misses,L1 Load Misses,L1 Store Misses,L2 Load Misses,L2 Store Misses,Cycles Stall Waiting for MemWrites,Cycles With 0 ins issue,Cycles With max ins issue,Cycles With no ins comp,Cycles With max ins comp,Unconditional branch ins,Conditional branch ins,Conditional branch ins taken,Conditional branch ins not taken,Conditional branch ins mispred,Conditional branch ins corr_pred,Load ins,Store Ins,Branch Ins,Cycle stalled on any resoruce,Loas/Store ins comp,L2 data cache access,L3 data cache access,L2 data cache reads,L3 data cache reads,L2 data cache writes,L3 data cache writes,L2 ins cache hits,L2 ins cache accesses,L3 ins cache accesses,L2 ins cache reads,L3 ins cache reads,L2 tot cache access,L3 tot cache access,L2 tot cache reads,L3 tot cache reads,L2 tot cache writes,L3 tot cache writes,FLOPS:sing_prec_vec_ops,FLOPS:dob_prec_vec_ops,Sing precision vec ins,Dob prec vec ins,Ref clock cyc,cpu energy,dram energy
2235317.6,2229403.8,56913.2,142511.4,167380.0,64985.8,198466.4,5521.6,7.0,2952.0,3040.6,38968.8,7238.6,18290.2,2670.6,6731.0,830332.2,368644.0,1514967.0,441131.2,92757.2,325655.0,69713.4,256405.4,11977.4,313623.4,643099.6,334620.2,418499.2,152395.0,977670.6,189741.6,163320.4,38973.2,18620.6,5146.0,2375.2,75630.8,143557.4,66419.4,140868.0,65277.8,334651.2,230488.8,183120.2,229542.2,5268.0,2414.4,0.0,27636.0,0.0,8896.0,14559.0,0.0014282,0.0001952
2237628.0,2225970.0,56986.2,142665.0,168447.6,64817.2,198235.4,884.6,3.2,2733.0,3038.0,39060.2,7281.6,18629.4,2632.4,6288.6,841063.4,369248.2,1523990.6,440842.2,92753.8,325670.6,69661.0,255996.2,12007.8,313934.0,642929.8,334718.2,418362.0,151224.2,977489.0,189071.2,163997.8,38941.8,18600.4,5198.0,2400.2,77158.4,142449.6,66332.6,140613.0,65126.6,337837.6,232195.8,183232.0,228879.8,5152.4,2391.4,0.0,27636.0,0.0,8896.0,14498.8,0.001892,0.00021979999999999998
2239665.8,2230238.2,57082.6,142246.8,168770.0,64715.6,198143.0,1944.8,1.6,2688.8,2911.2,38952.6,7288.6,18249.6,2584.0,6752.0,838032.8,369148.0,1528315.8,442013.2,92822.0,325867.4,69814.8,256525.8,12041.8,313747.2,643779.2,334939.2,418780.0,152433.4,978646.6,189026.6,164298.6,39000.6,18696.6,5180.8,2391.8,76302.0,142889.8,66782.8,141002.4,65364.0,335091.8,232855.4,183542.2,229757.8,5096.8,2412.0,0.0,27954.0,0.0,8998.0,14578.0,0.0019532,0.00018319999999999998
2237026.6,2240645.6,57246.4,143416.2,168803.0,64840.2,197706.6,950.4,2.6,2700.6,2944.6,39018.6,7314.8,18746.4,2492.2,9564.4,833226.8,369950.4,1521150.8,442276.8,92885.2,326057.4,69835.8,256222.0,12017.6,314264.0,644224.8,335322.0,419033.6,152462.2,979593.8,188899.0,164527.0,38956.4,18670.4,5244.0,2395.2,76669.2,142596.0,66825.0,140746.0,65364.0,335543.0,231857.2,183333.2,229341.6,5278.4,2374.2,0.0,28256.0,0.0,9096.0,14691.2,0.0330932,0.000183
2236343.8,2233016.0,57126.6,141838.4,169955.0,65104.8,198447.6,743.8,0.8,2699.0,3026.4,39222.2,7324.2,18629.2,2729.8,6847.4,840281.4,370471.2,1526756.6,443084.2,92956.2,326183.4,69925.6,256648.6,11971.2,314071.6,645028.6,335528.0,419231.6,152642.6,980499.6,189598.2,165024.2,39008.4,18633.2,4987.2,2400.4,75835.4,142644.8,66577.6,141143.8,65730.6,335152.4,231041.8,183743.8,230116.4,5380.0,2422.0,0.0,28574.0,0.0,9198.0,14555.4,0.0008056000000000001,0.0001222
2236201.0,2235491.8,57350.4,142436.4,169397.8,65102.0,199348.0,410.2,13.8,2671.4,3174.0,38967.8,7334.6,19088.2,2486.6,6243.8,842467.2,370574.2,1527964.8,443505.6,93018.8,326366.8,69960.4,256408.4,11850.8,314646.0,645490.2,335863.0,419427.8,153547.2,981398.8,191622.8,165107.8,39080.2,18663.2,5113.2,2365.6,76208.4,142923.6,66606.8,140579.2,64985.2,337021.4,232476.0,184292.2,229932.6,5105.2,2451.2,0.0,28884.0,0.0,9298.0,14640.4,0.012670999999999998,0.0001952
2236825.6,2248237.2,57386.2,142852.8,169064.6,64914.0,198364.6,1618.0,10.6,2742.6,2999.0,39092.6,7362.8,18548.0,2530.2,6882.6,838756.0,370943.6,1519598.2,443181.8,93019.0,326404.0,70049.2,256734.8,12013.6,314273.2,645624.6,335848.8,419504.0,153332.6,981465.8,189265.6,165138.2,39142.8,18631.4,5254.0,2396.4,75641.4,142915.4,66704.4,141013.6,65549.0,331778.0,233424.0,183882.0,229996.2,5215.2,2455.2,0.0,28884.0,0.0,9298.0,14593.4,0.0015626000000000001,0.0001954
2237376.4,2241247.6,57467.8,142294.6,169066.6,65184.8,198182.8,1556.8,2.0,2646.6,2941.4,39100.8,7347.2,18381.0,2687.8,10455.0,833894.8,371033.0,1518415.0,443888.0,93086.0,326598.4,70056.8,256505.0,11991.8,314761.0,646133.8,336182.2,419706.2,153948.8,982328.2,189331.0,165337.4,39170.4,18651.6,5209.2,2417.4,75717.6,143102.0,66527.4,140972.6,65119.0,333661.8,232306.2,184045.8,230516.0,5169.2,2486.4,0.0,29194.0,0.0,9398.0,14602.4,0.05291720000000001,0.00017079999999999998
2238017.8,2233252.0,57395.0,143220.0,169679.0,64949.2,199034.0,769.8,8.0,2680.4,3138.2,39136.0,7388.2,18406.2,2581.6,7128.0,832214.8,371367.4,1517045.6,444551.6,93151.0,326750.6,70167.8,256945.0,12036.4,314708.0,646869.4,336423.0,419900.2,153389.4,983227.2,189714.8,164332.0,39135.8,18643.4,5300.8,2452.2,76032.0,142820.4,66197.0,140807.0,65295.6,332806.8,233895.0,184297.2,231620.8,5328.0,2442.4,0.0,29496.0,0.0,9496.0,14591.6,0.0013916,0.0001952
2238974.0,2241487.0,57608.2,143385.4,170229.8,64814.6,198609.2,636.2,2.4,2656.0,3157.2,39359.2,7449.6,18199.2,2478.8,8780.2,832369.8,370753.8,1528826.6,444689.6,93224.2,326958.6,70229.8,256691.6,11941.2,315103.6,647447.6,336766.4,420268.0,152721.6,984296.0,189982.2,165292.8,39142.8,18653.8,5373.2,2342.8,75536.0,145536.4,66382.6,141327.2,65460.4,336721.6,233294.2,183630.2,231034.8,5278.4,2439.4,0.0,29814.0,0.0,9598.0,14608.0,0.0096678,0.00018319999999999998
2236062.2,2237711.0,57623.2,142873.8,169025.0,65225.2,199464.0,6185.2,1.8,2683.6,3218.2,39279.6,7427.4,18178.8,2791.6,5226.0,831447.0,372173.4,1528025.4,445171.4,93277.0,327103.8,70378.6,257078.6,12015.4,315003.8,648021.4,337062.0,420390.2,152270.2,985095.6,189434.2,164871.0,39300.2,18747.2,5403.2,2429.4,75778.8,141333.6,66495.2,141191.6,65180.4,337114.6,233043.6,183461.2,232057.0,5373.2,2421.2,0.0,30124.0,0.0,9698.0,14703.0,0.0010988,0.00017079999999999998
2230923.4,2228958.6,57795.6,143148.0,170823.2,64828.2,200255.4,5794.4,0.8,2659.0,3149.8,39263.2,7462.4,18229.8,2575.6,6739.6,838970.8,370877.4,1522284.2,444893.0,93279.8,327048.6,70280.6,256768.2,11826.8,315105.0,647979.6,337070.4,420426.2,154164.8,985066.6,190042.2,165441.0,39525.8,18790.2,5373.2,2426.2,76122.2,141686.2,66791.8,141346.4,64765.2,335309.0,233907.6,183800.2,231649.6,5282.4,2433.6,0.0,30124.0,0.0,9698.0,14652.0,0.0013304,0.0001954
2231892.0,2235442.4,57853.0,143119.8,170507.4,65164.6,200159.6,2186.2,1.0,2736.0,3084.4,39349.6,7477.0,18491.2,2487.6,6012.6,846571.8,372170.8,1526741.8,445157.4,93348.2,327239.2,70452.0,257149.8,12016.6,315159.8,648646.2,337311.2,420608.2,153337.6,985945.4,188892.8,165546.4,39210.6,18733.4,5410.0,2423.4,75633.8,141993.2,66468.2,141417.4,65194.4,334332.0,233423.6,183975.6,231361.8,5448.0,2436.2,0.0,30434.0,0.0,9798.0,14655.4,0.0516602,0.000171
2235865.6,2238015.0,57883.8,143579.6,169533.2,64908.8,199762.0,864.6,1.0,2711.6,3069.8,39460.6,7493.4,18315.4,2849.4,9574.8,844485.6,373611.8,1518066.2,446443.2,93407.0,327418.6,70503.8,256920.4,11971.8,315442.6,649245.6,337628.6,420914.4,153309.4,986977.0,189262.4,165620.2,39445.0,18717.2,5515.6,2401.2,75902.8,140862.2,66742.0,141129.4,65285.6,336068.0,233395.4,183775.0,230410.8,5410.8,2439.8,0.0,30736.0,0.0,9896.0,14660.6,0.0006958000000000001,0.00028060000000000004
2236437.0,2239755.4,58081.0,142023.0,170436.6,65021.4,198546.6,664.8,0.8,2702.8,2960.2,39376.0,7473.8,18365.8,2529.6,6946.0,842123.8,373704.8,1526629.0,446591.4,93474.8,327671.0,70658.2,257351.2,11961.0,315563.0,649994.6,337922.0,421148.0,152024.4,987908.2,189932.6,167188.0,39262.8,18784.8,5458.4,2435.4,76025.6,141444.8,66381.2,140869.8,65401.4,336345.4,233714.4,184257.0,232584.6,5477.6,2453.8,0.0,31054.0,0.0,9998.0,14634.2,0.026233,0.00020759999999999998
2237527.4,2252364.4,58220.6,142300.2,169628.0,64943.4,199961.4,411.2,0.4,2692.4,3024.0,39508.0,7494.6,18407.4,2610.0,7216.6,837456.8,373616.8,1528371.6,447094.6,93541.4,327818.8,70714.8,257113.4,11872.2,315863.8,650617.0,338105.4,421260.0,154072.6,988625.4,190468.6,165239.8,39580.6,18706.2,5480.0,2436.6,75423.6,141760.6,66856.8,141257.6,65477.8,332141.2,233294.6,183918.4,233620.4,5446.4,2470.2,0.0,31356.0,0.0,10096.0,14680.8,0.0011352,0.0001954
2239300.4,2235479.0,58083.0,142798.6,170358.6,65300.8,199746.8,334.0,0.6,2662.6,3038.8,39573.6,7452.8,18488.8,2779.0,7389.4,841969.8,373735.4,1526665.8,447093.4,93552.2,327841.4,70700.2,257485.0,11995.4,315775.8,650617.8,338263.0,421400.0,154589.2,988833.6,189804.2,165780.8,39405.0,18745.2,5534.0,2381.0,76105.4,141148.0,66936.6,141031.8,65113.4,335283.2,235237.2,183388.4,231944.0,5459.2,2459.8,0.0,31356.0,0.0,10096.0,14614.8,0.0138794,0.000183
2239183.6,2231362.8,58175.0,142869.6,170167.2,65857.2,200054.4,690.4,0.4,2699.4,3270.6,39505.2,7516.8,20755.2,2527.0,9828.0,841804.4,373581.0,1525574.2,447029.6,93606.0,327997.8,70766.6,257232.4,11992.4,315985.4,651238.6,338414.4,421513.4,156402.0,989495.2,189031.2,165845.8,39525.0,18691.8,5493.6,2407.0,76299.2,142654.2,66642.8,140688.0,65533.4,333643.8,233981.4,184996.0,232269.4,5480.8,2448.8,0.0,31674.0,0.0,10198.0,14566.6,0.0008666,0.00017079999999999998
2240316.6,2236749.2,58376.8,143894.6,171373.2,65074.2,200381.0,412.4,0.2,2686.6,3198.2,39378.4,7573.0,18771.4,2527.2,6262.6,839012.8,373870.6,1528285.8,448475.6,93699.0,328225.0,70858.4,257594.8,12068.6,316114.2,651914.8,338849.0,421941.0,153814.2,990760.4,190390.2,166195.2,39336.4,18750.2,5610.4,2395.4,75924.0,140841.0,66606.8,141092.0,67008.2,333623.6,232868.8,183804.8,230661.6,5402.4,2427.6,0.0,31976.0,0.0,10296.0,14630.6,0.035131800000000005,0.00018319999999999998
2233820.4,2237541.0,58415.2,145187.2,170114.0,64896.2,200434.2,350.8,3.4,2675.2,3248.8,39639.4,7638.4,18538.4,2944.8,10648.2,835356.6,374816.2,1528371.8,448534.0,93738.0,328397.4,70938.8,257466.8,12010.6,316365.8,652530.6,339039.4,422029.0,154046.4,991393.0,190157.6,165749.0,39673.0,18639.2,5608.0,2451.0,76195.6,141027.6,67166.0,141130.8,66969.6,336409.0,235387.8,183032.6,232721.6,5188.8,2444.4,0.0,32294.0,0.0,10398.0,14644.8,0.0019654,0.000354
2234914.0,2239590.8,66037.2,142442.0,170704.4,66507.8,200280.0,373.8,1.0,2690.6,3150.6,39659.8,7574.0,18984.0,2562.4,6196.2,832490.2,375202.0,1522057.2,449285.6,93809.0,328548.0,71033.0,257643.6,12055.0,316373.6,653179.8,339425.0,422375.0,154391.8,992609.4,190240.4,165907.4,39486.0,18879.6,5610.4,2421.6,75643.6,130131.2,66915.2,141240.4,67164.0,333884.8,233547.8,184384.4,232081.4,5599.2,2502.2,0.0,32596.0,0.0,10496.0,14656.0,0.0147338,0.0012572
2234941.0,2235037.8,59028.8,142576.0,171594.4,65432.0,200573.0,399.2,2.8,2661.4,2917.4,39667.2,7548.6,18381.0,2581.8,5246.8,842037.4,375180.8,1524691.6,449668.4,93816.0,328641.6,70989.0,257642.6,11890.6,316618.2,653208.0,339505.4,422495.0,154317.0,992722.8,189465.6,166055.2,39532.4,18792.2,5549.6,2402.8,75607.8,130854.0,66991.6,141273.4,66661.8,333614.0,234868.6,184759.0,231921.0,5526.0,2451.8,0.0,32596.0,0.0,10496.0,14633.8,0.0023314,0.0013062
2237280.2,2233240.2,58539.6,142189.8,171853.4,65338.4,200658.0,750.2,1.4,2713.6,3228.4,39556.6,7596.2,18878.0,3018.2,11094.4,846560.2,375244.4,1531766.4,449138.6,93884.0,328875.4,71153.4,257861.4,12020.6,316855.4,653881.0,339810.0,422774.0,153688.4,993666.2,190326.2,166348.2,39522.4,18876.0,5605.2,2350.0,75616.0,132214.4,67215.6,141298.2,66838.2,334611.2,234433.2,183941.6,232494.0,5650.4,2470.0,0.0,32914.0,0.0,10598.0,14599.0,0.0267334,0.0004517999999999999
2238363.2,2234917.8,58810.4,142022.6,171213.2,64854.6,199350.2,390.2,1.2,2664.0,3062.8,39598.2,7594.6,18534.6,2548.8,4996.8,860635.8,375903.6,1517816.8,450741.0,93930.8,328908.6,71138.4,257762.8,11905.6,316919.4,654432.4,340037.4,422888.4,154215.8,994507.2,189895.8,165682.4,39793.0,18742.6,5638.4,2453.6,75822.8,141394.0,66931.4,141513.8,66837.0,333864.8,235240.2,185375.8,231607.0,5665.2,2415.6,0.0,33224.0,0.0,10698.0,14665.6,0.001294,0.00043940000000000006
