index,ipc,cpu energy,dram energy,total energy
1,1.5096550345420838,0.0726011,0.0030396,0.0756407
2,1.5415821313858031,0.0376891,0.0008971999999999999,0.0385863
3,1.5891804814338684,0.031427,0.0009155,0.0323425
4,1.5943796634674072,0.036126599999999995,0.0008483000000000001,0.0369749
5,1.5270659446716308,0.038580199999999995,0.0015136,0.0400938
6,1.5613298535346984,0.0388549,0.0016113000000000002,0.0404662
7,1.5269805312156677,0.03794549999999999,0.0013611,0.0393066
8,1.594653558731079,0.033044399999999995,0.0009705,0.034014899999999994
9,1.5397862911224365,0.0375426,0.0009521999999999999,0.0384948
10,1.4126495122909546,0.045257399999999996,0.0012573,0.0465147
11,1.432119882106781,0.0436522,0.0021362000000000004,0.0457884
12,1.4380868077278137,0.04021600000000001,0.0020507,0.0422667
13,1.449860191345215,0.04046620000000001,0.0019775,0.0424437
14,1.4394434928894042,0.04577619999999999,0.0020874000000000005,0.04786359999999999
15,1.4624313235282898,0.0424559,0.0020507999999999998,0.0445067
16,1.488972544670105,0.043395899999999994,0.0019531,0.045349000000000014
17,1.5795008420944214,0.0351012,0.0009337999999999999,0.036035
18,1.570842444896698,0.036145,0.0009582,0.03710319999999999
19,1.5894256949424743,0.0330932,0.0008972000000000001,0.0339904
20,1.6162902116775513,0.034722800000000005,0.0007262999999999999,0.035449100000000004
21,1.6149582862854004,0.035095100000000004,0.0006592,0.0357543
22,1.6114084839820861,0.0308714,0.00045779999999999996,0.0313292
23,1.520004963874817,0.0388915,0.0013549999999999999,0.0402465
24,1.4290412783622741,0.047412,0.0021301000000000002,0.04954209999999999
25,1.4616467952728271,0.0502074,0.0023377,0.0525451
26,1.4599153757095338,0.044158800000000005,0.0020508,0.0462096
27,1.3619807362556458,0.0538085,0.003241,0.057049499999999996
28,1.4837259531021119,0.040509,0.0022705000000000004,0.0427795
29,1.5067688345909118,0.037219100000000005,0.0018127,0.03903179999999999
30,1.5730910301208496,0.0339965,0.0010925,0.035088999999999995
31,1.5991032600402832,0.0333922,0.0007202,0.0341124
32,1.5966127634048461,0.0317992,0.0007385,0.0325377
33,1.6073580861091614,0.0350341,0.0006103,0.03564439999999999
34,1.5880550384521483,0.03137809999999999,0.0005615,0.0319396
35,1.4754083633422852,0.03961780000000001,0.0011231000000000001,0.040740900000000004
36,1.4701224446296692,0.044146599999999994,0.0020081,0.04615470000000001
37,1.471377968788147,0.0455016,0.0021422999999999998,0.0476439
38,1.4723957419395446,0.0429503,0.0020813000000000003,0.0450316
39,1.4581137776374817,0.0448546,0.002124,0.046978599999999995
40,1.4565811038017273,0.0398497,0.0019714,0.0418211
41,1.5062144637107848,0.041583199999999994,0.0019409,0.043524099999999996
42,1.580057156085968,0.03291,0.0010925000000000002,0.034002500000000005
43,1.5973941922187804,0.0326537,0.0007141,0.033367799999999996
44,1.5542495250701904,0.037963800000000006,0.001001,0.038964799999999994
45,1.5821672797203064,0.033148,0.0007629,0.033910899999999994
46,1.599993145465851,0.0320434,0.0007263,0.0327697
47,1.5551973938941956,0.0373168,0.0008667000000000001,0.03818350000000001
48,1.425747001171112,0.05229469999999999,0.0023742999999999998,0.054669
49,1.4611841440200806,0.040771299999999996,0.0021422999999999998,0.0429136
50,1.4689164996147155,0.0432616,0.0021789999999999995,0.0454406
51,1.4773626685142518,0.040808,0.0019470000000000002,0.042755
52,1.4937819361686706,0.0440306,0.0019714,0.046001999999999994
53,1.4854385375976562,0.040966800000000005,0.0019592999999999998,0.042926099999999995
54,1.5806854128837586,0.03310539999999999,0.0012023000000000001,0.034307700000000003
55,1.5061772823333741,0.0411864,0.0013916,0.042578
56,1.5915567278862,0.034912000000000006,0.0007629000000000001,0.0356749
57,1.5519585609436035,0.031414700000000004,0.0007629,0.032177599999999994
58,1.566001296043396,0.033074900000000004,0.0007019,0.033776799999999996
59,1.5846222043037415,0.0336303,0.0007080000000000001,0.0343383
60,1.5074418187141418,0.0407897,0.0015502,0.04233990000000001
61,1.4621590614318847,0.043725599999999996,0.0019470000000000002,0.0456726
62,1.4298421502113343,0.0418212,0.0020995999999999996,0.043920799999999996
63,1.4061643242836,0.06850559999999999,0.0036071,0.0721127
64,1.413093090057373,0.0472655,0.0022705000000000004,0.049536
65,1.4808242559432983,0.04012439999999999,0.0018066000000000002,0.041930999999999996
66,1.5323494911193847,0.03272080000000001,0.0009705,0.0336913
67,1.3956047773361206,0.04581899999999999,0.0019836,0.04780260000000001
68,1.3827911972999574,0.0461791,0.0028807999999999998,0.049059900000000004
69,1.4044520378112793,0.04876090000000001,0.0026001,0.051361000000000004
70,1.384858286380768,0.0490782,0.0026550000000000002,0.05173319999999999
71,1.3081766963005066,0.0544554,0.0035766000000000005,0.05803199999999999
72,1.3207056403160096,0.052819700000000004,0.0032349,0.056054599999999996
73,1.242440152168274,0.0603148,0.0039795,0.0642943
74,1.1354174196720124,0.0777158,0.004736400000000001,0.0824522
75,1.254609513282776,0.0630797,0.0036376999999999994,0.06671740000000001
76,1.4218170285224914,0.050195199999999995,0.0024597,0.052654900000000004
77,1.3620099186897279,0.0478881,0.0027649,0.050653000000000004
78,1.4650311887264251,0.040490599999999995,0.0016235,0.0421141
79,1.5061420798301697,0.043786500000000006,0.0016174000000000002,0.045403900000000004
80,1.4499624729156495,0.0455932,0.0023437999999999996,0.047936999999999994
81,1.5307234048843383,0.0381957,0.0015015000000000002,0.039697199999999995
82,1.3226329684257507,0.0497252,0.0033020000000000002,0.0530272
83,1.2562541902065276,0.05114729999999999,0.0035461,0.0546934
