learning rate,ins,cycles,accuracy,cpu energy,dram energy
0.001,9923514514,9453296668,0.9649122953414917,56.244241,1.465817
0.01,9811348069,9282853966,0.9736841917037964,56.179788,1.33508
0.1,9812092251,9315509205,0.9736841917037964,54.544721,1.366208
