regularization type,ipc,cycles,accuracies,cpu energy,dram energy
l1_l2_0.001,1.036384348099018,14183827936,0.9912280440330505,96.616452,2.44079
l2_0.001,1.043153886984502,13880268334,0.9824561476707458,69.463934,2.734185
l1_0.001,1.042044871368972,13928128210,0.9912280440330505,70.825868,2.733452
none_0.001,1.042200241834235,13729948522,0.9736841917037964,67.391917,2.681024
