Total Instructions,Total Cycles,cpu energy,dram energy,total energy,total time
7032148,4708672,26123.0,611.0,26734.0,0.0014104843139648438
7033006,4734725,45837.0,1098.0,46935.0,0.0014302730560302734
7032571,4702976,21118.0,489.0,21607.0,0.0013849735260009766
7035426,4710375,48889.0,1037.0,49926.0,0.0013747215270996094
7036564,4701889,22583.0,427.0,23010.0,0.0013606548309326172
7034559,4703956,46631.0,977.0,47608.0,0.0013918876647949219
7035721,4743750,23132.0,549.0,23681.0,0.0013942718505859375
7036488,4697689,20874.0,489.0,21363.0,0.0013611316680908203
7036448,4727509,23133.0,488.0,23621.0,0.0013701915740966797
7037933,4783444,21667.0,427.0,22094.0,0.001355886459350586
7037408,4715469,48218.0,916.0,49134.0,0.0013735294342041016
7036621,4722100,24231.0,427.0,24658.0,0.00138092041015625
7038196,4720660,45104.0,916.0,46020.0,0.0013544559478759766
7038519,4722167,20935.0,427.0,21362.0,0.0013527870178222656
7037850,4719068,47303.0,916.0,48219.0,0.0013659000396728516
7038913,4692554,25817.0,610.0,26427.0,0.0013947486877441406
7039402,4710072,25025.0,610.0,25635.0,0.0013976097106933594
7039548,4718987,43640.0,977.0,44617.0,0.0013654232025146484
7040280,4708458,24963.0,549.0,25512.0,0.0013587474822998047
7041013,4701053,21912.0,489.0,22401.0,0.0013620853424072266
7041072,4720868,25574.0,427.0,26001.0,0.0013816356658935547
7042571,4759941,44982.0,976.0,45958.0,0.0013687610626220703
7042502,4757770,25391.0,428.0,25819.0,0.0013821125030517578
7043067,4800520,48401.0,610.0,49011.0,0.0013554096221923828
7044442,4747173,21301.0,305.0,21606.0,0.0013499259948730469
7045165,4724711,46753.0,733.0,47486.0,0.0014219284057617188
7043662,4807911,26428.0,427.0,26855.0,0.0013797283172607422
7045144,4756268,43152.0,671.0,43823.0,0.0013837814331054688
7045590,4728053,29907.0,366.0,30273.0,0.0013632774353027344
7045581,4716037,46569.0,1038.0,47607.0,0.0014147758483886719
7046758,4743804,23499.0,610.0,24109.0,0.0014717578887939453
