index,epc,cpu energy,dram energy,total energy,total time
6440,1.3607491254806519,46814.0,9887.0,56701.0,0.00555729866027832
6441,1.243273377418518,67993.0,15259.0,83252.0,0.006111860275268555
6442,1.3571279048919678,56641.0,9949.0,66590.0,0.0056552886962890625
6443,1.2826979160308838,59082.0,11169.0,70251.0,0.005931377410888672
6444,1.3472251892089844,59265.0,8179.0,67444.0,0.005708932876586914
6445,1.3050549030303955,62561.0,9827.0,72388.0,0.005833625793457031
6446,1.28180730342865,66834.0,10437.0,77271.0,0.005939006805419922
6447,1.3451876640319824,53466.0,8972.0,62438.0,0.005679130554199219
6448,1.2061843872070312,81482.0,14160.0,95642.0,0.00650787353515625
6449,1.1195847988128662,144225.0,15992.0,160217.0,0.006965160369873047
6450,1.1148141622543335,170044.0,19714.0,189758.0,0.006961822509765625
6451,1.448354721069336,83374.0,7080.0,90454.0,0.005373954772949219
6452,0.836757242679596,196106.0,25696.0,221802.0,0.008947610855102539
6453,1.076762080192566,129577.0,15076.0,144653.0,0.00723719596862793
6454,1.2857028245925903,47668.0,7080.0,54748.0,0.006027936935424805
6455,1.4235875606536865,51452.0,8362.0,59814.0,0.0053517818450927734
6456,1.3097736835479736,67932.0,14466.0,82398.0,0.0057773590087890625
6457,1.4462275505065918,36621.0,6714.0,43335.0,0.005294322967529297
6458,1.306019902229309,62073.0,13916.0,75989.0,0.005814790725708008
6459,1.4083296060562134,51635.0,7690.0,59325.0,0.005390167236328125
6460,1.3205240964889526,65124.0,10925.0,76049.0,0.005736112594604492
6461,1.4163850545883179,49072.0,6103.0,55175.0,0.005362987518310547
6462,1.3379193544387817,43396.0,7446.0,50842.0,0.0056765079498291016
6463,1.2801092863082886,52734.0,11231.0,63965.0,0.005948543548583984
6464,1.2719335556030273,52551.0,9461.0,62012.0,0.00597691535949707
6465,1.2844527959823608,60730.0,11231.0,71961.0,0.005982398986816406
6466,1.1459169387817383,76416.0,13611.0,90027.0,0.006555795669555664
6467,1.297357201576233,92101.0,11780.0,103881.0,0.0059316158294677734
6468,1.0733048915863037,111572.0,13611.0,125183.0,0.0069272518157958984
6469,1.3309193849563599,77026.0,8911.0,85937.0,0.0058133602142333984
6470,1.0448795557022095,108215.0,18310.0,126525.0,0.007466316223144531
6471,1.4801396131515503,59081.0,6470.0,65551.0,0.005265474319458008
6472,0.9530452489852905,115600.0,18799.0,134399.0,0.007931947708129883
6473,1.4310747385025024,51330.0,7385.0,58715.0,0.0054132938385009766
6474,0.938048779964447,99426.0,22156.0,121582.0,0.008284330368041992
6475,0.9693623781204224,94910.0,19715.0,114625.0,0.007916927337646484
6476,1.5156463384628296,42603.0,4395.0,46998.0,0.005067348480224609
6477,1.137208104133606,75622.0,15381.0,91003.0,0.006726980209350586
6478,1.4295631647109985,32165.0,7202.0,39367.0,0.005301952362060547
6479,1.2413489818572998,265136.0,57739.0,322875.0,0.034484148025512695
6480,1.361032485961914,60425.0,10742.0,71167.0,0.0056324005126953125
6481,1.43730890750885,60852.0,9826.0,70678.0,0.005349159240722656
6482,1.2267589569091797,65186.0,11719.0,76905.0,0.006068706512451172
6483,1.2960911989212036,69885.0,11536.0,81421.0,0.005827903747558594
6484,1.111674427986145,85510.0,16906.0,102416.0,0.006691932678222656
6485,1.2321561574935913,74218.0,12879.0,87097.0,0.006170511245727539
6486,1.3208979368209839,107482.0,10864.0,118346.0,0.005889892578125
6487,1.1303515434265137,100829.0,12817.0,113646.0,0.0066111087799072266
6488,1.2358365058898926,90149.0,10682.0,100831.0,0.006127357482910156
6489,1.1464667320251465,121825.0,16174.0,137999.0,0.006915092468261719
6490,1.4224854707717896,63598.0,7873.0,71471.0,0.005383729934692383
6491,1.4129457473754883,51940.0,6897.0,58837.0,0.005427122116088867
6492,1.2986290454864502,52062.0,10986.0,63048.0,0.005888700485229492
6493,0.7919823527336121,179016.0,25939.0,204955.0,0.009562253952026367
6494,0.8979575634002686,123596.0,19837.0,143433.0,0.008185148239135742
6495,1.5421209335327148,27649.0,4333.0,31982.0,0.005002498626708984
6496,1.1644041538238525,99914.0,14161.0,114075.0,0.0069043636322021484
6497,1.3385751247406006,49133.0,8728.0,57861.0,0.005680084228515625
6498,1.4889442920684814,33325.0,6408.0,39733.0,0.0051462650299072266
6499,1.334301471710205,50110.0,10437.0,60547.0,0.005686521530151367
6500,1.3698863983154297,53650.0,11780.0,65430.0,0.0055735111236572266
6501,1.3616467714309692,51208.0,8728.0,59936.0,0.005621194839477539
6502,1.2838103771209717,60486.0,15442.0,75928.0,0.005950450897216797
6503,1.3559542894363403,55053.0,8972.0,64025.0,0.00565338134765625
6504,1.303741693496704,56946.0,11658.0,68604.0,0.005933523178100586
6505,1.3214703798294067,71960.0,12207.0,84167.0,0.005921840667724609
6506,1.0194374322891235,93932.0,16114.0,110046.0,0.007326602935791016
6507,1.2692558765411377,120911.0,10620.0,131531.0,0.005987882614135742
6508,1.097435474395752,129638.0,14343.0,143981.0,0.006869077682495117
6509,1.3035022020339966,100952.0,10315.0,111267.0,0.0059070587158203125
6510,1.3170254230499268,102295.0,10376.0,112671.0,0.005838871002197266
6511,1.0923099517822266,111816.0,13550.0,125366.0,0.006905317306518555
6512,1.1310323476791382,104431.0,15442.0,119873.0,0.006865978240966797
6513,1.3741220235824585,48767.0,7630.0,56397.0,0.005555391311645508
6514,1.0549167394638062,65186.0,9400.0,74586.0,0.00708770751953125
6515,1.4963423013687134,40039.0,5493.0,45532.0,0.005134105682373047
6516,0.9888660907745361,96557.0,18982.0,115539.0,0.007532835006713867
6517,1.5217188596725464,29968.0,4577.0,34545.0,0.0050618648529052734
6518,1.146425485610962,75073.0,14405.0,89478.0,0.006621599197387695
6519,1.5014151334762573,39672.0,6470.0,46142.0,0.00512242317199707
6520,1.4030665159225464,43518.0,10498.0,54016.0,0.005464315414428711
6521,1.170730471611023,68847.0,15197.0,84044.0,0.006390571594238281
6522,1.3453410863876343,62195.0,10071.0,72266.0,0.005733013153076172
6523,1.3055764436721802,64819.0,11658.0,76477.0,0.005807638168334961
6524,1.3300987482070923,67871.0,9217.0,77088.0,0.005769968032836914
6525,1.0996654033660889,92956.0,15930.0,108886.0,0.006877422332763672
6526,0.9826948046684265,111144.0,18738.0,129882.0,0.0075702667236328125
6527,1.2018831968307495,137939.0,11718.0,149657.0,0.006218910217285156
