Total Instructions,Total Cycles,cpu energy,dram energy,total energy,total time
10376815,7232146,81298.0,1832.0,83130.0,0.001783609390258789
10376457,7303399,67932.0,1709.0,69641.0,0.0017850399017333984
10377560,7257951,35461.0,915.0,36376.0,0.0018625259399414062
10377895,7287811,35583.0,732.0,36315.0,0.0018863677978515625
10405041,7316988,68665.0,1160.0,69825.0,0.0018529891967773438
10406152,7282786,74401.0,1342.0,75743.0,0.0018939971923828125
10406617,7303002,70313.0,1282.0,71595.0,0.0019342899322509766
10406550,7493348,71594.0,1221.0,72815.0,0.001912832260131836
10407337,9138638,75134.0,1220.0,76354.0,0.0018153190612792969
10408338,9276703,68420.0,1160.0,69580.0,0.0018401145935058594
10408068,10035076,78491.0,1282.0,79773.0,0.00185394287109375
10409951,9778803,69458.0,1160.0,70618.0,0.0018825531005859375
10410214,8363786,75500.0,1281.0,76781.0,0.0018954277038574219
10410277,10213647,82214.0,1343.0,83557.0,0.001989126205444336
10411538,10713076,66467.0,1282.0,67749.0,0.0018699169158935547
10412608,9342465,77393.0,1465.0,78858.0,0.001981019973754883
10411010,9653558,69458.0,1281.0,70739.0,0.0018987655639648438
10412291,10816831,69091.0,1282.0,70373.0,0.0018668174743652344
10412569,9045592,75623.0,1221.0,76844.0,0.0018398761749267578
10412178,9130032,71960.0,1282.0,73242.0,0.0019104480743408203
10413209,10788687,74096.0,1159.0,75255.0,0.0018587112426757812
10415181,10448444,127014.0,3723.0,130737.0,0.0023651123046875
10413271,8618034,55969.0,3601.0,59570.0,0.0024423599243164062
10414724,10855191,119629.0,5860.0,125489.0,0.002664804458618164
10415071,9331767,119201.0,6103.0,125304.0,0.0024034976959228516
10414834,8779584,61951.0,5432.0,67383.0,0.0024611949920654297
10417193,10930258,122009.0,5738.0,127747.0,0.0024671554565429688
10417088,9469364,63659.0,3784.0,67443.0,0.002353191375732422
10416779,8542718,108887.0,6103.0,114990.0,0.002555370330810547
10418176,10958243,127868.0,6104.0,133972.0,0.002466440200805664
10418772,9313986,65979.0,3845.0,69824.0,0.0024411678314208984
10418821,8420838,115966.0,7385.0,123351.0,0.002813577651977539
10418820,10877815,113587.0,5982.0,119569.0,0.0024602413177490234
10419752,9601748,61218.0,3662.0,64880.0,0.002186298370361328
10420128,8408760,123168.0,6347.0,129515.0,0.0026917457580566406
10420135,10870496,65430.0,3113.0,68543.0,0.002420663833618164
10420232,9330518,116516.0,6775.0,123291.0,0.0024378299713134766
10420252,8270130,125793.0,7507.0,133300.0,0.002477884292602539
10421170,11553730,63964.0,3540.0,67504.0,0.0022263526916503906
10421785,9818619,125122.0,6470.0,131592.0,0.002687215805053711
10421343,8342043,70740.0,3296.0,74036.0,0.0023293495178222656
10422920,10413841,109313.0,6226.0,115539.0,0.002368927001953125
10424525,8574655,125244.0,7202.0,132446.0,0.0028548240661621094
10425079,8409528,114014.0,7507.0,121521.0,0.002637624740600586
10424667,9405379,66284.0,4944.0,71228.0,0.0025048255920410156
10425073,9453606,121032.0,6531.0,127563.0,0.0024650096893310547
10425372,8293614,52490.0,3051.0,55541.0,0.002170562744140625
10426922,7222335,124206.0,6470.0,130676.0,0.0023872852325439453
10427047,7146186,67566.0,3906.0,71472.0,0.002396106719970703
10425993,7311234,118042.0,6287.0,124329.0,0.002288818359375
10430050,7110812,75439.0,5066.0,80505.0,0.0026929378509521484
10427478,7212322,63415.0,3235.0,66650.0,0.0021882057189941406
10426755,7263475,125854.0,6470.0,132324.0,0.0026276111602783203
10428495,7144977,90943.0,4578.0,95521.0,0.0022950172424316406
10428568,7141771,67260.0,3662.0,70922.0,0.0022733211517333984
10429810,7448474,133789.0,6531.0,140320.0,0.002551555633544922
10429203,7635906,111938.0,5310.0,117248.0,0.0022954940795898438
10430554,7197791,72815.0,5798.0,78613.0,0.0027730464935302734
10431159,7044054,90454.0,4272.0,94726.0,0.002243518829345703
10431648,7010023,50415.0,4090.0,54505.0,0.002333402633666992
10431808,7047504,113159.0,5310.0,118469.0,0.0024161338806152344
10431751,7033390,70679.0,4272.0,74951.0,0.002230405807495117
10433364,7067387,73486.0,2869.0,76355.0,0.0020875930786132812
10434553,7070847,105834.0,5371.0,111205.0,0.0021407604217529297
10406699,7028646,69519.0,2258.0,71777.0,0.0018553733825683594
10408528,7893429,71106.0,2136.0,73242.0,0.00185394287109375
10406828,8249074,72143.0,1954.0,74097.0,0.0018603801727294922
10406431,7546460,33387.0,1098.0,34485.0,0.00176239013671875
10434634,7180684,71350.0,2075.0,73425.0,0.0017921924591064453
10435139,7104015,77575.0,2014.0,79589.0,0.0018711090087890625
10435091,7877499,67749.0,2076.0,69825.0,0.0017826557159423828
10435968,7357845,72754.0,2075.0,74829.0,0.0018689632415771484
10436446,7117519,74890.0,2014.0,76904.0,0.001834869384765625
10437413,7052158,70556.0,2014.0,72570.0,0.0018265247344970703
10438992,7090513,72449.0,1953.0,74402.0,0.0017473697662353516
10439737,7219670,69030.0,2075.0,71105.0,0.0018999576568603516
10439179,7077463,71716.0,1954.0,73670.0,0.0017781257629394531
10441053,7269523,32654.0,1037.0,33691.0,0.0017895698547363281
10441428,7206265,29297.0,1037.0,30334.0,0.0017933845520019531
10441694,7129655,73974.0,2320.0,76294.0,0.0019071102142333984
10440761,7045535,66040.0,2014.0,68054.0,0.0017807483673095703
10442493,7094181,72693.0,2075.0,74768.0,0.0018086433410644531
10441990,7050241,73242.0,2075.0,75317.0,0.001771688461303711
10443035,7030621,69336.0,2075.0,71411.0,0.0017898082733154297
10443110,7051601,65490.0,1892.0,67382.0,0.0017821788787841797
10442850,7113198,89844.0,2198.0,92042.0,0.001817464828491211
10444211,7077415,70312.0,2014.0,72326.0,0.0017750263214111328
10445056,7067098,34729.0,976.0,35705.0,0.0018286705017089844
10442892,7057871,35949.0,976.0,36925.0,0.0017843246459960938
10445638,7107890,70984.0,1770.0,72754.0,0.0017688274383544922
10446389,7089379,73181.0,1832.0,75013.0,0.0018553733825683594
10446484,7024162,71228.0,1770.0,72998.0,0.0017621517181396484
10447496,7033756,70373.0,1709.0,72082.0,0.0017964839935302734
10448547,7030891,75440.0,1708.0,77148.0,0.0018041133880615234
10448265,7113660,70373.0,1648.0,72021.0,0.0018117427825927734
10449759,7021518,70495.0,1282.0,71777.0,0.0018336772918701172
10447942,7452565,45838.0,794.0,46632.0,0.0019156932830810547
10448974,8139148,28869.0,732.0,29601.0,0.0018181800842285156
10450171,8716942,74951.0,1221.0,76172.0,0.0018253326416015625
10450214,8690292,69397.0,1282.0,70679.0,0.001863241195678711
10449679,9638397,71838.0,1159.0,72997.0,0.0019173622131347656
10451195,8816635,68665.0,1282.0,69947.0,0.0018384456634521484
10451232,9090034,78613.0,1221.0,79834.0,0.0018229484558105469
10451381,12263731,73669.0,1221.0,74890.0,0.0018467903137207031
10451081,9074446,73242.0,1342.0,74584.0,0.0019273757934570312
10452857,8775339,80261.0,2014.0,82275.0,0.002001047134399414
10452832,10358731,73425.0,1770.0,75195.0,0.0018620491027832031
10454291,9671413,70496.0,2076.0,72572.0,0.0019009113311767578
10454683,9018737,77331.0,1831.0,79162.0,0.001832723617553711
10454657,11868520,71838.0,1831.0,73669.0,0.001786947250366211
10456200,8472411,71838.0,1770.0,73608.0,0.0018134117126464844
10456888,9470081,67932.0,1770.0,69702.0,0.0018858909606933594
10454592,11110215,91003.0,3113.0,94116.0,0.002022266387939453
10456680,9132933,98816.0,5127.0,103943.0,0.0023682117462158203
10456882,9516568,85449.0,5615.0,91064.0,0.0027914047241210938
