Matrix Size,Total Instructions,Total Cycles,L1 Data Cache Misses,L1 Instruction Cache Misses,L2 Data Cache Misses,L2 Instruction Cache Misses,L1 Cache Misses,L2 Cache Misses,L3 Load Misses,Data TLB Misses,Ins TLB Misses,L1 Load Misses,L1 Store Misses,L2 Load Misses,L2 Store Misses,Cycles Stall Waiting for MemWrites,Cycles With 0 ins issue,Cycles With max ins issue,Cycles With no ins comp,Cycles With max ins comp,Unconditional branch ins,Conditional branch ins,Conditional branch ins taken,Conditional branch ins not taken,Conditional branch ins mispred,Conditional branch ins corr_pred,Load ins,Store Ins,Branch Ins,Cycle stalled on any resoruce,Loas/Store ins comp,L2 data cache access,L3 data cache access,L2 data cache reads,L3 data cache reads,L2 data cache writes,L3 data cache writes,L2 ins cache hits,L2 ins cache accesses,L3 ins cache accesses,L2 ins cache reads,L3 ins cache reads,L2 tot cache access,L3 tot cache access,L2 tot cache reads,L3 tot cache reads,L2 tot cache writes,L3 tot cache writes,FLOPS:sing_prec_vec_ops,FLOPS:dob_prec_vec_ops,Sing precision vec ins,Dob prec vec ins,Ref clock cyc,cpu energy,dram energy,total energy,total time
724,104405153,62482248,2629528,12318,2237850,9915,2656004,342007,3543,9694,587,164516,256937,26209,90148,1323533,1467552,18847838,30321128,21558153,2117691,3946081,1808392,2145843,9266,3936167,24112114,7103866,6062951,3866863,31268640,426058,2204920,168197,38728,303734,91795,1265,10786,9202,10443,10644,429942,2200791,184174,2178481,296590,91905,0,98764044,0,28621580,653306,742308.0,26001.0,768309.0,0.028246402740478516
725,104783122,62848833,2602342,10766,2214845,6957,2639182,532156,8124,9942,545,168500,254061,25969,90626,2530423,1473556,18928762,28432802,21678911,2123285,3958348,1815214,2144099,9500,3949509,24190730,7123455,6083056,4727827,31328103,439883,2212414,170637,37988,303492,92394,970,8693,6769,17664,10282,435970,2260650,172257,2220485,303394,92821,0,99036210,0,28764188,654624,667356.0,20935.0,688291.0,0.025092363357543945
726,105166256,62875945,2628327,9055,2170280,4919,2242507,494846,3797,10384,593,168573,257716,25208,89935,1608166,1358603,19068957,28249741,21706217,2188985,3984003,1821927,2149336,9165,3967411,24271826,7169367,6099116,4183043,31517300,434840,2118221,146931,37766,303250,90799,1012,7582,14671,15021,8227,433311,2304748,174064,2150925,304484,91295,0,99308752,0,28907080,650868,653685.0,16662.0,670347.0,0.025115251541137695
727,105646147,63011491,2635253,8666,2286907,5761,2377153,372363,3461,10096,503,166230,259194,25010,93327,1382478,1493318,19152431,29103895,21753063,2160397,3983437,1828517,2154910,9620,4019838,24354201,7175425,6138092,4093505,31528742,434651,2111739,158719,36726,307020,92597,1018,8181,12849,12602,7875,447663,2336557,175407,2250225,305562,92751,0,99581670,0,29050256,658808,732237.0,29419.0,761656.0,0.028638124465942383
728,106061463,63609667,2638320,8071,2343823,5307,2631746,366140,3895,9952,585,135194,258885,24474,95010,1272007,1467808,19111074,28916928,21915317,2143349,4021629,1835383,2160948,9370,3987489,24433500,7182646,6203910,4010405,31616062,438188,2231662,165208,37099,304120,90825,1583,7090,7318,9392,12175,435527,2337652,172215,2278285,306128,90574,0,99854964,0,29193716,680288,861021.0,54321.0,915342.0,0.030683279037475586
729,104936819,62499473,2279302,7615,2330488,5520,2634428,396791,3353,9949,709,139951,259443,24007,92200,1329322,1422747,18896846,28247010,21684676,2150931,4022243,1832209,2167429,8859,3995142,23806148,7201938,6191925,3861238,31007661,410995,2222396,148788,35945,303684,91166,1214,6997,6644,9924,9971,419572,2362894,151999,2302185,305066,91007,0,101187694,0,28294507,662091,825498.0,51696.0,877194.0,0.02951669692993164
730,105351986,62949738,2272064,10856,2350856,6435,2523495,355834,3790,10274,563,144059,261622,24247,91488,1118052,1378964,19001136,28269279,21748262,2159726,4012069,1840105,2173036,8985,4007182,23900173,7222324,6167274,3719817,31146618,406637,2245219,142814,33671,308318,93019,904,10497,7196,9448,8385,406639,2196987,145803,2296725,302524,92561,0,101464628,0,28438570,655853,848997.0,55237.0,904234.0,0.03025054931640625
731,105629301,62665923,2631595,7359,2352525,6559,2638936,522277,3670,9751,740,142585,262172,27747,91587,1332059,1368183,19067905,29511644,21843955,2161739,4025211,1847066,2183589,9011,4016259,23961895,7240724,6186170,4582911,31223145,418671,2261902,146119,34390,311180,93932,1025,8598,6386,9495,7796,420974,2245750,155157,2312965,305716,95406,0,101741942,0,28582921,661177,703001.0,28076.0,731077.0,0.02620410919189453
732,105998213,62696581,2605003,7891,2227942,5925,2647310,404064,7785,10245,674,140356,257262,23676,91301,1580087,1440759,19133291,28848285,21953105,2168349,4036969,1853207,2184633,8919,4029386,24047237,7260728,6204765,5076630,31307309,423306,2243793,150438,33063,308928,93639,988,7697,7692,12498,8026,413073,2343642,158862,2313942,309736,94712,0,102019636,0,28727560,661138,665831.0,23133.0,688964.0,0.02585768699645996
733,106398225,63695986,2628257,10373,2338244,5066,2344256,389053,3724,10199,598,146301,260918,24499,89136,1436348,1399605,19322666,28679249,22020951,2226434,4050253,1859445,2190254,8836,4041449,24127227,7296613,6224039,4452087,31405231,414883,2075758,136838,33390,312754,93874,916,7596,9665,11036,6900,426571,2307012,159343,2237362,312598,92558,0,102297710,0,28872487,664509,703062.0,20629.0,723691.0,0.02637314796447754
