Total Instructions,Total Cycles,cpu energy,dram energy,total energy,total time
3371771,2589600,450133.0,15442.0,465575.0,0.036866188049316406
3230389,2562337,12512.0,366.0,12878.0,0.0007848739624023438
3228238,2578328,13855.0,305.0,14160.0,0.0007648468017578125
3229382,2561415,0.0,0.0,0.0,0.0007805824279785156
3228229,2570584,17517.0,427.0,17944.0,0.0007567405700683594
3228852,2566089,15320.0,366.0,15686.0,0.0007560253143310547
3228272,2548553,13977.0,305.0,14282.0,0.0007460117340087891
3229188,2546268,0.0,0.0,0.0,0.0007467269897460938
