Matrix Size,Total Instructions,Total Cycles,L1 Cache Misses,cpu energy,dram energy,total energy,total time
4139,6885887322.0,3552323652.0,263459273.0,29439683.0,2278132.0,31717815.0,1.397742748260498
4140,6889632492.0,3533605183.0,255586699.0,29449815.0,2262506.0,31712321.0,1.4002044200897217
4141,6893659204.0,3544816664.0,254384610.0,29693161.0,2255061.0,31948222.0,1.40718412399292
4142,6897138358.0,3535879300.0,257829346.0,29595871.0,2265436.0,31861307.0,1.3988041877746582
4143,6900206348.0,3543868435.0,256844033.0,29473740.0,2287409.0,31761149.0,1.4016878604888916
4144,6903443496.0,3549417788.0,265308322.0,29613511.0,2268305.0,31881816.0,1.4020519256591797
4145,6944714352.0,3569893094.0,264569478.0,29650925.0,2278376.0,31929301.0,1.4108161926269531
4146,6946238574.0,3565869639.0,259024753.0,29742111.0,2253168.0,31995279.0,1.4130797386169434
4147,6947538500.0,3578566934.0,264663868.0,29939987.0,2257501.0,32197488.0,1.4208195209503174
4148,6948643313.0,3578478086.0,262985415.0,29727951.0,2265070.0,31993021.0,1.4124951362609863
4149,6949812780.0,3565024527.0,264158225.0,29890976.0,2311335.0,32202311.0,1.4146533012390137
4150,6950755348.0,3559938777.0,264338948.0,29760849.0,2295038.0,32055887.0,1.411985158920288
4151,6951830925.0,3571379601.0,262694689.0,29724594.0,2303644.0,32028238.0,1.4120867252349854
4152,6953230031.0,3588012382.0,263653939.0,30028243.0,2297784.0,32326027.0,1.4205937385559082
4153,6907936764.0,3539824078.0,260710520.0,29657761.0,2295465.0,31953226.0,1.4101192951202393
4154,6909513720.0,3541101036.0,255436091.0,29993393.0,2301996.0,32295389.0,1.4184114933013916
4155,6910330832.0,3543626705.0,256293739.0,29778122.0,2321466.0,32099588.0,1.410104513168335
4156,6911662432.0,3547359743.0,256523346.0,29752731.0,2287287.0,32040018.0,1.4149436950683594
4157,6912795733.0,3556441391.0,256910331.0,29493882.0,2282403.0,31776285.0,1.4119935035705566
4158,6914016283.0,3540809795.0,252079477.0,29601853.0,2253779.0,31855632.0,1.4135751724243164
4159,6914746510.0,3546388411.0,255032630.0,29770310.0,2249689.0,32019999.0,1.4136874675750732
4160,6915153715.0,3565255196.0,254198522.0,29705674.0,2318903.0,32024577.0,1.4139444828033447
4161,6958884278.0,3581160466.0,256603366.0,29539048.0,2307734.0,31846782.0,1.4113240242004397
4162,6962713506.0,3570152194.0,254241558.0,29500047.0,2271296.0,31771343.0,1.4118223190307615
4163,6966390079.0,3583405966.0,256173707.0,29656967.0,2308343.0,31965310.0,1.4137940406799316
4164,6970280165.0,3594780212.0,259608510.0,29750046.0,2282892.0,32032938.0,1.4142341613769531
4165,6973933802.0,3579614839.0,260129580.0,29648911.0,2294122.0,31943033.0,1.4142158031463623
4166,6977725523.0,3568776368.0,260357970.0,29752426.0,2312250.0,32064676.0,1.4143187999725342
4167,6981816433.0,3595161633.0,263196078.0,29983687.0,2310541.0,32294228.0,1.4282069206237793
4168,6985685391.0,3600391583.0,264267217.0,30176742.0,2269831.0,32446573.0,1.432706356048584
4169,6989732613.0,3604204691.0,262751498.0,30343672.0,2347589.0,32691261.0,1.4435431957244873
4170,6992807291.0,3603415109.0,259237366.0,29879806.0,2286554.0,32166360.0,1.4273276329040527
4171,6996386709.0,3611814065.0,260721757.0,29935959.0,2307428.0,32243387.0,1.42474627494812
4172,7000007288.0,3615703057.0,260824630.0,30624983.0,2340814.0,32965797.0,1.450336456298828
4173,7003993287.0,3609014125.0,260001329.0,30106124.0,2324518.0,32430642.0,1.4291057586669922
4174,7008361366.0,3608096193.0,264391215.0,30133163.0,2265009.0,32398172.0,1.4376907348632812
4175,7010637969.0,3604251688.0,265434846.0,30145431.0,2331781.0,32477212.0,1.432271957397461
4176,7014158344.0,3603834229.0,267218060.0,30133224.0,2309137.0,32442361.0,1.428929328918457
4177,7060834160.0,3628525693.0,266871847.0,30026412.0,2335993.0,32362405.0,1.4287605285644531
4178,7067783787.0,3637420113.0,269990326.0,30206954.0,2320551.0,32527505.0,1.432140827178955
4179,7074375771.0,3609215370.0,268850920.0,30092208.0,2331720.0,32423928.0,1.4332964420318604
4180,7080812164.0,3648542108.0,273394468.0,30457320.0,2353571.0,32810891.0,1.4371726512908936
4181,7087821887.0,3654976112.0,265023834.0,30539899.0,2347589.0,32887488.0,1.4452919960021973
4182,7094529202.0,3650927476.0,266372528.0,30573164.0,2349604.0,32922768.0,1.4478209018707275
4183,7101321887.0,3654211788.0,268582705.0,30759504.0,2341364.0,33100868.0,1.4525845050811768
4184,7107553209.0,3671728105.0,266680139.0,30496138.0,2343012.0,32839150.0,1.4500155448913574
4185,7067195830.0,3638042091.0,268747510.0,30456282.0,2346246.0,32802528.0,1.4466590881347656
4186,7073794095.0,3632057605.0,270435911.0,30541609.0,2320307.0,32861916.0,1.448960304260254
4187,7080327822.0,3644283800.0,263702912.0,30573408.0,2319391.0,32892799.0,1.449406385421753
