Matrix Size,Total Instructions,Total Cycles,L1 Cache Misses,cpu energy,dram energy,total energy,total time
3900,5816650227,3339773551,194897969,33243445.0,3540518.0,36783963.0,1.1995444297790527
3901,5818306940,3387261897,195634033,34777011.0,3472159.0,38249170.0,1.2873475551605225
3902,5817814523,3396337231,194153819,32738869.0,3649404.0,36388273.0,1.2743005752563477
3903,5819071263,3390060552,193303237,33129920.0,3641043.0,36770963.0,1.2896983623504639
3904,5822828716,3438653697,193268875,38107813.0,4200062.0,42307875.0,1.4040768146514893
3905,5858755134,3448563322,197919052,40948870.0,4355518.0,45304388.0,1.4935705661773682
3906,5864747538,3397198151,195188099,37284756.0,3997305.0,41282061.0,1.4066331386566162
3907,5865154925,3424926168,193498906,33670568.0,3686392.0,37356960.0,1.3003437519073486
3908,5868844280,3416972227,195279815,33221533.0,3617849.0,36839382.0,1.3007500171661377
3909,5874321352,3330983869,196751318,37001309.0,3798391.0,40799700.0,1.3840813636779785
3910,5878477701,3392957865,198156457,39612875.0,4169179.0,43782054.0,1.4747569561004639
3911,5878877923,3592876847,195006905,35330903.0,4035329.0,39366232.0,1.3439571857452393
3912,5890574707,3314064934,200343061,41768203.0,3958242.0,45726445.0,1.574995756149292
3913,5886995182,3345057584,198296094,36822782.0,4127492.0,40950274.0,1.3995599746704102
3914,5891521622,3366832631,199009810,44266305.0,4877734.0,49144039.0,1.5423784255981445
3915,5896335063,3533719222,200146303,39170737.0,4203786.0,43374523.0,1.447838544845581
3916,5898033915,3415485251,202199255,40009419.0,4393239.0,44402658.0,1.4616765975952148
3917,5905999199,3362804200,199248066,44694100.0,4235036.0,48929136.0,1.6633827686309814
3918,5902555840,3369378963,199285669,37094387.0,3887869.0,40982256.0,1.4168500900268555
3919,5907802171,3440737027,200189459,51663259.0,3931386.0,55594645.0,1.897679090499878
3920,5908279839,3482318382,200665518,33671483.0,3684744.0,37356227.0,1.3122084140777588
3921,5949211124,3394603066,201042746,33427344.0,3653982.0,37081326.0,1.305196762084961
3922,5955169850,3518972707,200475464,33894750.0,3711416.0,37606166.0,1.3156752586364746
3923,5961025381,3465928639,201196360,33423072.0,3650747.0,37073819.0,1.30375075340271
3924,5967341496,3461663470,201722216,34137974.0,3744253.0,37882227.0,1.3261618614196777
3925,5974769494,3479360962,201211497,38530724.0,4185902.0,42716626.0,1.43912672996521
3926,5981236643,3481747791,200530352,40212422.0,4400502.0,44612924.0,1.4599711894989014
3927,5984878082,3519761185,204305780,34360935.0,3781668.0,38142603.0,1.3319106101989746
3928,5991084015,3508953865,200966982,33764135.0,3667715.0,37431850.0,1.3190398216247559
3929,5955405900,3379198226,202325433,33673864.0,3645376.0,37319240.0,1.3202764987945557
3930,5961270574,3445681244,201503309,33780309.0,3632864.0,37413173.0,1.3238539695739746
3931,5967984477,3484183781,204334472,33986669.0,3603690.0,37590359.0,1.3341178894042969
3932,5973072829,3465098049,194789637,33847631.0,3667776.0,37515407.0,1.322514533996582
3933,5979339722,3598517714,194695673,34358798.0,3676077.0,38034875.0,1.3395164012908936
3934,5984523758,3479890016,197230135,33776769.0,3714774.0,37491543.0,1.321423053741455
3935,5990944831,3404075267,196658060,33862829.0,3579764.0,37442593.0,1.3368198871612549
3936,5998145036,3466282393,201787152,38304651.0,4120961.0,42425612.0,1.4326081275939941
3937,6035679809,3540877620,194014739,40249226.0,4239064.0,44488290.0,1.4937314987182617
3938,6037901517,3400696141,207543754,34264012.0,3897146.0,38161158.0,1.3412902355194092
3939,6041737644,3497193975,210249780,31855509.0,3745046.0,35600555.0,1.3699443340301514
3940,6044816237,3536892551,205170939,32160501.0,3856984.0,36017485.0,1.3754241466522217
3941,6048303163,3300678234,203882179,32148050.0,3854055.0,36002105.0,1.3760769367218018
3942,6052147705,3551599744,203442119,32374551.0,3798697.0,36173248.0,1.3872904777526855
3943,6057032763,3568039017,204940232,33272376.0,3757925.0,37030301.0,1.4327507019042969
3944,6058772254,3518870122,207658135,33868322.0,3866018.0,37734340.0,1.4232878684997559
3945,6061907058,3538789146,206466562,32081766.0,3743276.0,35825042.0,1.375779390335083
3946,6066000436,3533678610,205808142,34129307.0,4034963.0,38164270.0,1.440281867980957
3947,6072614499,3491324406,210710619,37810938.0,4373951.0,42184889.0,1.5792598724365234
3948,6073733412,3500753169,210027766,34877474.0,4142140.0,39019614.0,1.454657793045044
3949,6075918312,3480198473,209349473,32391641.0,3798269.0,36189910.0,1.3806960582733154
3950,6078789148,3559383824,211431088,32603188.0,3864370.0,36467558.0,1.3831064701080322
3951,6082253923,3539983546,210902130,32347878.0,3758413.0,36106291.0,1.3805396556854248
3952,6084825562,3514325666,212008009,32378274.0,3737418.0,36115692.0,1.3833279609680176
3953,6119647049,3689959507,209544539,32453469.0,3837087.0,36290556.0,1.3763480186462402
3954,6118555976,3518403789,208202504,32418984.0,3841360.0,36260344.0,1.3751568794250488
3955,6118223160,3509033376,212335662,33018409.0,3832082.0,36850491.0,1.4073944091796875
3956,6116318571,3472192181,212923133,32360696.0,3844655.0,36205351.0,1.3725414276123047
3957,6118765264,3488634843,223010199,36337798.0,4060597.0,40398395.0,1.5283241271972656
3958,6118701296,3555517668,219547429,37135403.0,4258351.0,41393754.0,1.5490210056304932
3959,6113139279,3557912192,208038538,34064488.0,4165944.0,38230432.0,1.418708086013794
3960,6111754585,3544375074,210643528,32820839.0,3904897.0,36725736.0,1.3901360034942627
