Matrix Size,Total Instructions,Total Cycles,L1 Cache Misses,cpu energy,dram energy,total energy,total time
3000,3007002042,1583788140,102856002,16288959.0,1471737.0,17760696.0,0.6401762962341309
3001,2982554853,1707332054,102539262,15496054.0,1282955.0,16779009.0,0.6192007064819336
3002,2983247238,1577948680,101895922,14779442.0,1209652.0,15989094.0,0.6028392314910889
3003,2983978602,1512339953,102142030,14872521.0,1205746.0,16078267.0,0.6038455963134766
3004,2984872381,1624247940,102312151,14736229.0,1177731.0,15913960.0,0.6049695014953613
3005,2985730770,1626317023,101591612,14666344.0,1168577.0,15834921.0,0.6036972999572754
3006,2986597448,1620581653,101134771,14876060.0,1184873.0,16060933.0,0.6072759628295898
3007,2987542455,1633277925,101276751,14860924.0,1196347.0,16057271.0,0.6094930171966553
3008,2988837941,1649960095,101142200,15509726.0,1176389.0,16686115.0,0.6328837871551514
3009,3011103744,1664931129,101696832,14785362.0,1176572.0,15961934.0,0.6067755222320557
3010,3013457530,1653180959,101501423,14929466.0,1162167.0,16091633.0,0.6064198017120361
3011,3015680642,1660576026,102104741,15104271.0,1206357.0,16310628.0,0.6103432178497314
3012,3017989180,1675561367,102845944,14917808.0,1207150.0,16124958.0,0.6111805438995361
3013,3020178517,1645095785,102783217,14954246.0,1190488.0,16144734.0,0.6127538681030273
3014,3022272748,1648910125,102572239,14952354.0,1180111.0,16132465.0,0.6116211414337158
3015,3024752859,1634214374,103419734,15361838.0,1214230.0,16576068.0,0.6255700588226318
3016,3026520497,1608788305,103830226,15164023.0,1207577.0,16371600.0,0.6190955638885498
3017,3028990986,1659493112,104055956,15085777.0,1195004.0,16280781.0,0.6194329261779785
3018,3031181631,1669367335,103971382,15064110.0,1189328.0,16253438.0,0.616274356842041
3019,3033305548,1686414647,104678557,15129478.0,1205929.0,16335407.0,0.6159446239471436
3020,3035606770,1652384856,105196499,15137961.0,1214779.0,16352740.0,0.618833065032959
3021,3038054265,1682805427,105182554,15313499.0,1195920.0,16509419.0,0.6233248710632324
3022,3040607566,1664813268,106173827,15356894.0,1141965.0,16498859.0,0.6296935081481934
3023,3041965317,1652605234,105863447,15181663.0,1209042.0,16390705.0,0.6189286708831787
3024,3043841716,1698022039,106457237,15306663.0,1223996.0,16530659.0,0.6200034618377686
3025,3068890409,1672557543,106619169,15225669.0,1226377.0,16452046.0,0.6218807697296143
3026,3072834295,1682694552,106338092,15349143.0,1211118.0,16560261.0,0.6254928112030029
3027,3076651295,1700088781,106795440,15431052.0,1182859.0,16613911.0,0.627997636795044
3028,3080070868,1707125671,106987533,15292869.0,1229367.0,16522236.0,0.6235842704772949
3029,3083995316,1676093521,106918206,15456809.0,1213437.0,16670246.0,0.6275589466094971
3030,3087546249,1697557492,106511895,15372519.0,1236814.0,16609333.0,0.6270310878753662
3031,3091157113,1681817664,106949715,15391379.0,1230709.0,16622088.0,0.6291584968566895
3032,3094874117,1667181077,107194148,15397177.0,1261716.0,16658893.0,0.6269288063049316
3033,3074056492,1709003831,107148677,15531576.0,1243832.0,16775408.0,0.6318182945251465
3034,3077143008,1666635653,106913027,16275166.0,1307674.0,17582840.0,0.6589925289154053
3035,3081980646,1709559624,107473430,16394245.0,1288937.0,17683182.0,0.6520702838897705
3036,3084930076,1705825072,107615342,15668539.0,1298764.0,16967303.0,0.6331725120544434
3037,3088792567,1690967647,107420134,15464560.0,1261350.0,16725910.0,0.6297211647033691
3038,3092816086,1666269507,106951380,15596091.0,1228452.0,16824543.0,0.6318378448486328
3039,3095969155,1711497627,107452387,15632101.0,1261411.0,16893512.0,0.6344585418701172
3040,3099057741,1719269175,108503800,16045736.0,1374203.0,17419939.0,0.6420176029205322
3041,3122978169,1710924242,108929985,15345054.0,1242428.0,16587482.0,0.6278867721557617
3042,3125462882,1710598586,108832509,15550315.0,1243832.0,16794147.0,0.6334340572357178
3043,3127827465,1718315882,109584412,15550436.0,1239621.0,16790057.0,0.6340122222900391
3044,3129919904,1713041538,110336607,15592001.0,1256528.0,16848529.0,0.63443922996521
3045,3132029108,1743258759,110119982,15541830.0,1241452.0,16783282.0,0.6297059059143066
3046,3134601785,1712519991,110322095,15865682.0,1256955.0,17122637.0,0.6394002437591553
3047,3136814083,1747767826,110854685,15777486.0,1262631.0,17040117.0,0.6412010192871094
3048,3139023995,1739714644,110168963,15596884.0,1274166.0,16871050.0,0.6382358074188232
3049,3141479864,1720130690,110907245,15881551.0,1273922.0,17155473.0,0.6430401802062988
3050,3143646122,1752321699,110617949,15760030.0,1295040.0,17055070.0,0.6431000232696533
3051,3145953816,1725317930,111136715,15797628.0,1253476.0,17051104.0,0.644660234451294
3052,3147922955,1757481955,112024602,15687399.0,1276669.0,16964068.0,0.6384663581848145
3053,3150333677,1758568311,111995810,15762899.0,1278561.0,17041460.0,0.6418907642364502
3054,3152462796,1736557019,111833343,15774252.0,1287960.0,17062212.0,0.6394245624542236
3055,3154583674,1732205776,112636866,15799947.0,1272641.0,17072588.0,0.6447629928588867
3056,3156133183,1715718823,112930123,15796651.0,1286923.0,17083574.0,0.6390104293823242
3057,3176186483,1763814036,112459248,15714804.0,1292416.0,17007220.0,0.6419925689697266
3058,3174306257,1746271164,111393535,15737814.0,1288022.0,17025836.0,0.6418395042419434
3059,3172318931,1732813312,110727404,15720113.0,1284908.0,17005021.0,0.6432955265045166
3060,3170250326,1765780610,110316741,15758077.0,1308835.0,17066912.0,0.6435446739196777
3061,3168319795,1742190820,109174763,15902486.0,1287106.0,17189592.0,0.6455585956573486
3062,3166107179,1745250577,107993258,15814169.0,1308652.0,17122821.0,0.642223596572876
3063,3164283336,1732017221,107475655,16090901.0,1317502.0,17408403.0,0.6483988761901855
3064,3162089092,1740828463,107305506,15914204.0,1327450.0,17241654.0,0.6467499732971191
3065,3134943802,1757451046,106055448,15850301.0,1294980.0,17145281.0,0.6457784175872803
3066,3132610318,1692885774,106237095,15843587.0,1298885.0,17142472.0,0.6410415172576904
3067,3130630396,1750602759,105676721,15820333.0,1327450.0,17147783.0,0.6423845291137695
3068,3128462109,1695989852,105248470,15814291.0,1320004.0,17134295.0,0.6396408081054688
3069,3126419478,1682053720,104163574,15587423.0,1305234.0,16892657.0,0.6471438407897949
3070,3126760852,1699669665,103185725,18378249.0,1772822.0,20151071.0,0.7562098503112793
3071,3124029285,1703364172,103921151,16509235.0,1512020.0,18021255.0,0.7128691673278809
3072,3122906690,1775190159,105429453,20576607.0,2119379.0,22695986.0,0.8623695373535156
3073,3150109348,1785268540,104824565,19146801.0,1846065.0,20992866.0,0.8074395656585693
3074,3151224795,1755004362,103299170,16253742.0,1417538.0,17671280.0,0.7227249145507812
3075,3151710410,1759622134,103961433,15336508.0,1621150.0,16957658.0,0.6717443466186523
3076,3154005126,1754742024,104684879,15926961.0,1680294.0,17607255.0,0.6808393001556396
3077,3155863069,1742000770,104352481,14428064.0,1299923.0,15727987.0,0.6564655303955078
3078,3158220100,1729017904,104487918,14504907.0,1288937.0,15793844.0,0.6550233364105225
3079,3160472698,1734359273,104818884,14631432.0,1294247.0,15925679.0,0.6486818790435791
3080,3163015588,1730724356,105476457,14796349.0,1276486.0,16072835.0,0.6574935913085938
3081,3165375163,1756448832,101452752,14785668.0,1279354.0,16065022.0,0.6600937843322754
3082,3171625659,1725868936,101853172,21609869.0,2106012.0,23715881.0,0.8852279186248779
3083,3172265817,1758469119,102061462,21136664.0,2133905.0,23270569.0,0.8383338451385498
3084,3172794662,1734358950,102910764,15496359.0,1391293.0,16887652.0,0.6986434459686279
3085,3175447467,1753689069,102915951,16261921.0,1461727.0,17723648.0,0.7041909694671631
3086,3176526666,1772438102,102868648,14617516.0,1299924.0,15917440.0,0.6629865169525146
3087,3179673436,1768780872,103546086,16105855.0,1402401.0,17508256.0,0.7008655071258545
3088,3180692732,1776961369,103976390,15166953.0,1335812.0,16502765.0,0.6746234893798828
3089,3214829659,1798883263,104213834,21769903.0,1562069.0,23331972.0,0.9431602954864502
3090,3217788200,1730953575,104036980,25609493.0,2367120.0,27976613.0,1.0502400398254395
3091,3219388149,1735796954,104605165,23070009.0,2073298.0,25143307.0,0.9649629592895508
3092,3220686564,1717448298,104919734,22331242.0,2050227.0,24381469.0,0.9425134658813477
3093,3229301222,1759127693,104598198,22525455.0,2002619.0,24528074.0,0.9438025951385498
3094,3234656413,1752932378,104254691,24211485.0,2135859.0,26347344.0,1.0249459743499756
3095,3236920145,1762402399,104304379,22189579.0,1980280.0,24169859.0,0.9395229816436768
3096,3238998386,1758980706,104640078,25656734.0,2459649.0,28116383.0,1.0509803295135498
3097,3217878664,1735789819,104786233,23751099.0,2158319.0,25909418.0,0.9875502586364746
3098,3215113499,1735775391,104405493,15433555.0,1485225.0,16918780.0,0.6900427341461182
3099,3220271280,1742826756,104815697,19795970.0,1873286.0,21669256.0,0.7987973690032959
3100,3224732433,1751435273,105227375,18560621.0,1875484.0,20436105.0,0.7634389400482178
3101,3232457516,1752581947,104787970,19921336.0,1566830.0,21488166.0,0.8550856113433838
3102,3231487746,1743734861,104786507,16141560.0,1492123.0,17633683.0,0.7132439613342285
3103,3235370968,1742818927,105067749,16394733.0,1484921.0,17879654.0,0.7102835178375244
3104,3239185614,1756201972,105487746,17001971.0,1571529.0,18573500.0,0.7206442356109619
3105,3262144910,1766789292,105951527,15049339.0,1414364.0,16463703.0,0.6710693836212158
3106,3271517102,1744340162,105838486,24530150.0,2208674.0,26738824.0,1.0031790733337402
3107,3273617505,1764967314,106429624,23722169.0,2065791.0,25787960.0,1.00148606300354
3108,3276314755,1776818339,106887218,22818668.0,2075190.0,24893858.0,0.9601521492004395
3109,3272869990,1742040242,106759849,17488969.0,1712826.0,19201795.0,0.736053466796875
3110,3277113546,1760402214,106793345,18087845.0,1395931.0,19483776.0,0.7970836162567139
3111,3276687947,1761163561,107494908,15574118.0,1396725.0,16970843.0,0.6862597465515137
