Matrix Size,Total Instructions,Total Cycles,L1 Cache Misses,cpu energy,dram energy,total energy,total time
3900,5819342440,3386064654,195742031,40512225.0,4257130.0,44769355.0,1.3960750102996826
3901,5817243625,3405618757,193676410,32975989.0,3650626.0,36626615.0,1.277723789215088
3902,5818586084,3447923581,192752053,32464456.0,3538077.0,36002533.0,1.2639129161834717
3903,5820913224,3374926273,191543468,34632907.0,3654714.0,38287621.0,1.3357675075531006
3904,5823423733,3386034944,191409756,37469081.0,4027089.0,41496170.0,1.3904359340667725
3905,5860121355,3478284130,192073616,35702240.0,3799551.0,39501791.0,1.345900058746338
3906,5861288001,3443653058,192994439,32579446.0,3557609.0,36137055.0,1.263627529144287
3907,5864603819,3414091528,192855037,32469887.0,3591116.0,36061003.0,1.2660911083221436
3908,5870550183,3385793090,192254941,34238193.0,3593802.0,37831995.0,1.3310725688934326
3909,5874115087,3414929497,209178003,36222929.0,3566641.0,39789570.0,1.3903415203094482
3910,5875623909,3422823942,212301247,33065650.0,3517142.0,36582792.0,1.2857427597045898
3911,5877955493,3389349935,217615047,33027443.0,3675100.0,36702543.0,1.2770686149597168
3912,5882199679,3515816564,218630831,34361668.0,3619437.0,37981105.0,1.3263678550720215
3913,5884778517,3454863764,218931536,33185218.0,3711233.0,36896451.0,1.2807674407958984
3914,5888156503,3387530540,218873526,33034034.0,3693716.0,36727750.0,1.2772982120513916
3915,5895065875,3376404826,220520050,37545253.0,3970082.0,41515335.0,1.4009594917297363
3916,5898731823,3387722477,220381279,38057093.0,3893178.0,41950271.0,1.4360177516937256
3917,5898673954,3383971615,220169215,34166234.0,3772634.0,37938868.0,1.3103446960449219
3918,5902089902,3430383401,219905080,32692726.0,3641409.0,36334135.0,1.275960922241211
3919,5905275051,3375381564,219515001,33509131.0,3664053.0,37173184.0,1.2937850952148438
3920,5908514695,3392969187,201974259,33002357.0,3489370.0,36491727.0,1.2890188694000244
3921,5949188781,3404985383,207444309,33374426.0,3676748.0,37051174.0,1.29402756690979
3922,5955407687,3438157595,209811176,33583349.0,3667776.0,37251125.0,1.2972321510314941
3923,5961766969,3591220076,202247314,33103309.0,3512869.0,36616178.0,1.290581226348877
3924,5967626849,3526962156,205713656,33572485.0,3619498.0,37191983.0,1.2950317859649658
3925,5973174232,3533589093,201954870,33232886.0,3601065.0,36833951.0,1.2937991619110107
3926,5978719492,3514459215,202602943,37000882.0,3805349.0,40806231.0,1.4063374996185303
3927,5984269431,3529073410,206401674,40276447.0,4267568.0,44544015.0,1.47060227394104
3928,5990890719,3538125831,203553112,36809781.0,4160634.0,40970415.0,1.3744227886199951
3929,5954665553,3492614230,202610843,33722569.0,3766348.0,37488917.0,1.3072404861450195
3930,5960599899,3499273103,202985306,33779516.0,3769094.0,37548610.0,1.308675765991211
3931,5967000293,3468559140,199465467,33488683.0,3642324.0,37131007.0,1.3072848320007324
3932,5974580021,3427750846,203412251,36352812.0,3520377.0,39873189.0,1.4231693744659424
3933,5978380465,3521440454,202695125,33597875.0,3713553.0,37311428.0,1.3124258518218994
3934,5983742350,3472792437,202146819,33622350.0,3739127.0,37361477.0,1.3088603019714355
3935,5989592711,3424656749,200076534,33703771.0,3716055.0,37419826.0,1.3116874694824219
3936,5994919112,3496614505,199715297,33449926.0,3680654.0,37130580.0,1.3088934421539307
3937,6036093503,3560092963,201625235,36447600.0,3824819.0,40272419.0,1.3962490558624268
3938,6040868516,3565487423,200862130,38537926.0,4037221.0,42575147.0,1.4406721591949463
3939,6043964538,3513830679,205682324,39032127.0,4249989.0,43282116.0,1.4458074569702148
3940,6046193626,3552418489,208029236,37830164.0,4112661.0,41942825.0,1.4112341403961182
3941,6047590197,3526050432,208593906,34503147.0,3857534.0,38360681.0,1.3280644416809082
3942,6050862727,3501125982,209832207,34045689.0,3808950.0,37854639.0,1.3166627883911133
3943,6054306883,3550712489,209845651,34048863.0,3799856.0,37848719.0,1.3217170238494873
3944,6057858149,3502617171,210291939,34483005.0,3847341.0,38330346.0,1.3305785655975342
3945,6061403268,3594353114,209610493,34136693.0,3786794.0,37923487.0,1.3275363445281982
3946,6064929013,3633086173,206755477,34419223.0,3826651.0,38245874.0,1.3370063304901123
3947,6073060970,3672905033,206871685,34047948.0,3650442.0,37698390.0,1.4453444480895996
3948,6074029346,3562418583,207108539,35616364.0,4000478.0,39616842.0,1.4989559650421143
3949,6081616439,3538009635,208515334,38867882.0,4359303.0,43227185.0,1.6160392761230469
3950,6078844442,3560339929,208199932,33372839.0,4059865.0,37432704.0,1.3931100368499756
3951,6081569182,3572258241,207280666,32144815.0,3824087.0,35968902.0,1.3642857074737549
3952,6084502224,3545166670,208529337,32239847.0,3811941.0,36051788.0,1.365185022354126
3953,6119757417,3589060082,207430005,32116434.0,3769338.0,35885772.0,1.3619921207427979
3954,6118676178,3568707531,208919604,32496804.0,3811879.0,36308683.0,1.3754396438598633
3955,6117996239,3611825655,215403387,32326089.0,3765249.0,36091338.0,1.372420310974121
3956,6120651644,3700875966,213388330,35286348.0,3817312.0,39103660.0,1.5164995193481445
3957,6114902489,3737358189,210808020,32957679.0,3838369.0,36796048.0,1.366743564605713
3958,6114012988,3581630257,208687962,33258948.0,4007863.0,37266811.0,1.3999221324920654
3959,6115759094,3646393927,208368926,36731046.0,4260243.0,40991289.0,1.5238673686981201
3960,6114452133,3578845968,205790135,36364592.0,4075857.0,40440449.0,1.506664752960205
3961,6067753458,3527031510,207838937,32445351.0,3903859.0,36349210.0,1.3724987506866455
3962,6066805450,3521808534,197865438,32490944.0,3860830.0,36351774.0,1.3714780807495117
3963,6065216992,3579281935,199685532,32896767.0,3932730.0,36829497.0,1.3811442852020264
3964,6063797709,3486442166,197698445,32597817.0,3944448.0,36542265.0,1.3734192848205566
3965,6062689709,3541750005,196326666,32433694.0,3915579.0,36349273.0,1.3695290088653564
3966,6061412167,3427499696,194728047,32391336.0,3886526.0,36277862.0,1.3660695552825928
3967,6059887276,3593623992,194411493,32813942.0,3971669.0,36785611.0,1.378063678741455
3968,6058499367,3493765736,194935703,32367287.0,3839773.0,36207060.0,1.3741869926452637
3969,6099107150,3570804859,193531407,34659518.0,4120778.0,38780296.0,1.441335916519165
3970,6105509750,3574041880,217938229,37235500.0,4281544.0,41517044.0,1.5371840000152588
3971,6106407835,3588010820,206771468,34873202.0,4220265.0,39093467.0,1.4430372714996338
3972,6108873384,3582678452,189044782,32612526.0,3855886.0,36468412.0,1.3811700344085693
3973,6112777998,3612884840,189238970,33005531.0,3798086.0,36803617.0,1.393984079360962
3974,6115172256,3641055013,196768645,32758645.0,3914541.0,36673186.0,1.380016565322876
3975,6118246448,3600462251,205564565,32980629.0,3993154.0,36973783.0,1.3850970268249512
3976,6121882192,3647789947,203501275,32911048.0,4010732.0,36921780.0,1.3830411434173584
3977,6125503623,3688953666,224971886,32871864.0,3951894.0,36823758.0,1.3886170387268066
3978,6128787511,3519847741,223851233,33226172.0,4008657.0,37234829.0,1.3935434818267822
3979,6132552213,3620752467,207447997,32911537.0,3924184.0,36835721.0,1.3897264003753662
3980,6138930839,3632175900,208492699,36586638.0,4174917.0,40761555.0,1.5150296688079834
3981,6144444706,3269268291,208282482,38259912.0,4261525.0,42521437.0,1.5976693630218506
3982,6147251176,3635681433,208198403,36471281.0,3946463.0,40417744.0,1.5473830699920654
3983,6145919179,3650200557,210680708,32821877.0,3940298.0,36762175.0,1.3846426010131836
3984,6149117077,3676497015,210273621,33181800.0,3947927.0,37129727.0,1.4021286964416504
3985,6192002019,3654087304,209726216,32742836.0,3859426.0,36602262.0,1.390838861465454
3986,6197544246,3640350123,208470556,32891091.0,3972768.0,36863859.0,1.391021728515625
3987,6203605338,3591794113,210932279,33389685.0,3992666.0,37382351.0,1.4031753540039062
3988,6209096793,3635900213,211643106,32914467.0,3884450.0,36798917.0,1.3999567031860352
3989,6215792997,3650297674,209780454,33116004.0,3985585.0,37101589.0,1.4037256240844727
3990,6222933919,3605434968,208315214,35503571.0,4198598.0,39702169.0,1.4844443798065186
3991,6230413125,3639107046,211551610,38350121.0,4596668.0,42946789.0,1.5691025257110596
3992,6236889208,3707594172,211300706,37616053.0,4545520.0,42161573.0,1.5412769317626953
3993,6199112277,3598908449,213571164,35790924.0,4343738.0,40134662.0,1.4850361347198486
3994,6203571990,3613919065,211999896,33385962.0,4007558.0,37393520.0,1.4116222858428955
3995,6209502325,3672444367,210438547,33665502.0,4041860.0,37707362.0,1.4197602272033691
3996,6215089127,3667557799,212233831,33652685.0,4073537.0,37726222.0,1.4155800342559814
3997,6221781399,3712092656,210241448,33306312.0,3938833.0,37245145.0,1.4122436046600342
3998,6229985340,3813501397,210099016,36094756.0,4066335.0,40161091.0,1.53584623336792
3999,6232927820,3733325682,209574517,34454562.0,4089956.0,38544518.0,1.430647850036621
