Total Instructions,Total Cycles,L1 Data Cache Misses,L1 Instruction Cache Misses,L2 Data Cache Misses,L2 Instruction Cache Misses,L1 Cache Misses,L2 Cache Misses,L3 Load Misses,Data TLB Misses,Ins TLB Misses,L1 Load Misses,L1 Store Misses,L2 Load Misses,L2 Store Misses,Cycles Stall Waiting for MemWrites,Cycles With 0 ins issue,Cycles With max ins issue,Cycles With no ins comp,Cycles With max ins comp,Unconditional branch ins,Conditional branch ins,Conditional branch ins taken,Conditional branch ins not taken,Conditional branch ins mispred,Conditional branch ins corr_pred,Load ins,Store Ins,Branch Ins,Cycle stalled on any resoruce,Loas/Store ins comp,L2 data cache access,L3 data cache access,L2 data cache reads,L3 data cache reads,L2 data cache writes,L3 data cache writes,L2 ins cache hits,L2 ins cache accesses,L3 ins cache accesses,L2 ins cache reads,L3 ins cache reads,L2 tot cache access,L3 tot cache access,L2 tot cache reads,L3 tot cache reads,L2 tot cache writes,L3 tot cache writes,FLOPS:sing_prec_vec_ops,FLOPS:dob_prec_vec_ops,Sing precision vec ins,Dob prec vec ins,Ref clock cyc,cpu energy,dram energy
6350396.2,4005437.2,281676.4,105305.6,408579.8,61506.2,389067.4,2253.6,43.4,3807.2,2855.8,153729.4,27230.2,38712.4,10601.4,50048.0,888941.6,1045944.2,2149208.4,1580849.6,494682.8,700076.4,312480.0,387494.8,11036.4,688747.2,2093312.6,890875.8,1194772.2,662367.2,2984268.6,287892.6,429185.0,152192.4,60225.4,18858.4,11107.8,45587.8,107334.8,60337.6,105930.4,62396.2,386674.0,500789.2,257483.0,470244.4,18576.0,11337.0,2.0,1071860.0,2.0,454893.0,33012.8,0.0399412,0.0005738
6349466.4,3993607.0,281426.8,106065.8,417505.8,60340.2,388018.0,4724.8,22.0,3680.2,2735.2,152541.4,26868.0,37698.0,10532.4,73810.8,892495.6,1045364.0,2292019.2,1582679.6,494701.0,700062.0,312616.2,387466.4,10861.0,688851.2,2093406.4,890918.2,1194742.8,659865.6,2984186.0,284200.6,439478.2,151966.8,60867.4,18138.8,10792.8,46455.8,106783.0,60124.4,105942.0,62126.0,387484.0,485328.2,256783.8,466974.8,18318.8,11330.2,2.0,1071852.0,2.0,454889.0,33063.2,0.0405028,0.0005859999999999999
6350188.0,4014419.6,281378.0,106162.6,412931.8,60509.8,388890.0,2940.2,45.8,3696.8,2817.6,150905.2,27072.8,38668.0,10505.6,51472.4,905743.0,1044646.4,2164827.6,1579335.2,494717.2,700303.4,312552.2,387542.8,11114.4,688873.0,2093385.0,891025.6,1194832.0,654404.6,2984196.8,285095.6,439674.4,148395.8,56917.6,19332.0,11101.0,45286.6,107106.0,60567.2,106020.4,61931.4,388727.0,500975.2,256682.8,469976.8,18977.2,11061.6,2.0,1072013.0,2.0,454998.0,33145.6,0.0013182,0.00047599999999999997
6348875.2,4020105.8,281403.8,106175.6,416844.0,59762.4,388013.6,10182.6,32.4,3438.2,3035.0,149293.0,27998.4,38343.2,10666.6,71816.8,899828.6,1049061.2,2146164.0,1581554.2,494716.6,700151.2,312727.4,387474.6,11051.8,688828.8,2093390.8,890982.4,1194802.8,659592.0,2984521.2,281996.0,430336.8,148842.0,58994.6,19626.4,10832.8,45989.2,106175.4,60143.2,105536.6,62153.4,389230.4,492701.2,254086.8,486840.2,20016.0,11451.0,2.0,1071896.0,2.0,454829.0,33020.8,0.0023071999999999997,0.0005736000000000001
6350451.6,3998551.2,281382.0,105167.2,411707.4,60623.0,388809.4,7020.4,27.2,3691.2,2806.8,145559.0,26559.2,39019.0,10702.4,54334.2,901962.4,1046835.4,2167780.6,1572237.4,494843.2,700345.0,312662.6,387565.8,11094.4,688973.0,2093984.0,891155.6,1195172.2,803281.6,2984546.0,279215.6,420866.0,142299.8,56965.0,20577.6,11091.2,46037.2,106875.0,60615.6,105714.0,62109.6,381535.0,499713.8,249245.2,471298.4,19686.4,10968.2,2.0,1072081.0,2.0,454961.0,32836.0,0.0014892,0.0005859999999999999
6349498.0,4023182.6,281524.4,105174.8,417228.0,59876.8,388172.4,3193.0,48.4,3397.0,2916.4,148459.6,27794.2,37882.6,10713.8,71608.2,904595.0,1047529.6,2153193.2,1580608.8,494909.2,700398.6,312855.0,387537.2,11138.6,689067.8,2094132.4,891283.4,1195106.4,667861.0,2985057.4,280811.8,430436.0,148024.0,59429.6,19346.8,10981.4,46142.4,106982.4,60413.4,105443.8,62269.6,386169.0,502620.0,255308.4,468864.0,19828.8,11158.0,2.0,1072228.0,2.0,455060.0,32941.2,0.0145508,0.0005128000000000001
6352718.4,3999476.0,281722.0,105998.0,412566.4,60650.0,389493.0,3500.0,29.0,3737.8,3054.8,147657.2,27385.4,38791.6,10749.4,50725.0,896711.4,1047688.8,2167646.0,1583142.2,495037.4,700514.0,312789.8,387674.2,11207.2,689179.2,2094407.0,891541.4,1195480.8,669166.4,2986165.0,280880.6,440014.4,144764.8,60912.0,19938.4,11084.2,45529.8,107227.4,60147.0,105680.0,62395.6,386083.6,487112.6,253547.2,472058.0,20005.2,11031.2,2.0,1072532.0,2.0,455356.0,33055.4,0.0399048,0.0004882
6353278.2,4001631.2,281429.6,105034.4,416103.4,59985.6,389178.6,4814.0,296.0,3317.0,2999.6,149082.4,27243.0,37879.2,10519.4,74865.0,896130.8,1048205.0,2105962.4,1582956.0,495142.4,700699.6,313009.6,387711.6,11070.4,689424.0,2095120.2,891730.8,1195877.2,658293.2,2986386.4,282969.4,440049.6,149602.6,60067.0,18846.0,10896.0,46378.2,106280.8,60299.8,105975.2,62118.6,387041.2,496960.8,256468.0,473896.2,21321.2,11010.0,2.0,1072693.0,2.0,455465.0,33154.8,0.03564440000000001,0.000415
6352454.0,4017981.8,281673.0,105931.0,413316.4,60759.4,389042.2,2487.4,50.2,3730.4,2962.8,149591.0,27792.4,38637.0,10741.8,50916.8,897111.8,1050491.8,2079062.6,1582635.8,495035.8,700670.4,312880.2,387687.2,11247.6,689231.0,2094821.6,891576.6,1195655.0,655197.6,2986303.2,280097.0,428957.6,147238.0,60273.6,20322.0,11299.4,46200.6,106569.2,60390.8,106424.8,63149.2,388504.6,500880.6,255147.2,473744.8,19392.4,11249.8,2.0,1072587.0,2.0,455307.0,32966.0,0.051562399999999994,0.0004516
6353448.4,3994800.4,281588.8,105869.8,417472.8,59820.2,388939.4,4111.4,30.6,3417.8,2898.0,153093.6,26768.2,37963.2,10503.8,77286.4,904149.6,1050334.6,2083464.2,1585441.8,495202.6,700949.0,313166.0,387798.2,11015.6,689710.6,2095679.6,892013.4,1195866.0,696480.6,2987162.2,292149.4,418700.8,146383.2,60152.8,18134.4,10704.6,47007.8,106596.6,60109.6,106868.6,63369.8,383615.6,484782.8,261572.4,474434.0,20138.4,11349.2,2.0,1073025.0,2.0,455704.0,34157.6,0.00177,0.00029299999999999997
6353734.0,3998131.6,281901.6,105610.0,412145.2,60458.8,389460.6,10243.0,63.6,3859.0,2982.2,151316.8,27360.4,38437.2,10744.6,51164.2,899613.4,1048328.4,2075075.6,1583207.6,495268.0,700948.2,312978.2,387800.6,10992.8,689599.8,2095736.2,891998.8,1196027.2,798730.6,2987438.6,285797.4,424286.6,150063.6,59190.6,19249.2,11195.0,46391.2,106263.0,60323.6,106239.6,61168.2,389255.0,501740.6,258427.2,471744.2,18414.8,11268.0,2.0,1073188.0,2.0,455691.0,34150.2,0.026183999999999995,0.0004274
6352395.0,3997262.0,281557.8,105748.0,418097.0,61523.4,389240.6,28059.8,32.6,3500.6,2772.0,149670.4,26989.0,38345.4,10566.0,73136.4,885710.4,1044475.8,2092545.8,1584632.6,495310.2,700929.0,313144.4,387790.4,11078.2,689726.2,2095904.6,892101.0,1195872.2,750317.2,2987835.0,282832.2,436659.4,151060.6,61137.0,18298.8,11010.6,45686.0,106757.2,60340.4,106132.6,60753.6,388529.2,490006.2,256449.6,475868.0,19142.4,11300.0,2.0,1073204.0,2.0,455699.0,34133.4,0.029894999999999998,0.00043940000000000006
6353690.8,4008808.2,281617.2,106170.8,413701.2,60022.6,398199.2,4891.4,44.6,3742.4,2901.4,149973.4,26439.2,39160.0,10628.0,51822.2,896314.6,1051433.4,2079954.6,1583071.8,495321.2,700989.8,313003.2,387837.8,11049.0,689577.8,2095659.0,892092.4,1196190.6,666216.6,2987525.4,284920.8,440870.8,151122.4,60743.8,19590.4,11269.0,46299.6,107501.0,60847.6,107278.2,60544.4,387938.2,498102.4,255944.4,474269.4,18763.6,11429.6,2.0,1073349.0,2.0,455680.0,34087.0,0.0127442,0.0003418
6353788.0,4000080.6,281694.8,106542.0,422726.2,64026.0,391164.6,12039.0,35.4,3456.2,2867.0,146453.0,27341.6,38764.4,10784.4,79426.4,988962.4,1053481.0,2529411.2,1583736.4,495383.2,700916.2,313153.0,387851.4,11042.0,689144.2,2096132.4,892175.4,1196124.2,846220.8,2988226.8,285927.6,441542.6,146168.4,60440.0,18840.8,11288.4,45298.2,110122.0,60896.8,107283.6,60341.2,389101.2,500767.8,257819.0,492736.4,19249.6,11106.0,2.0,1073512.0,2.0,455675.0,34317.4,0.020654199999999998,0.0003784
6345893.8,4064948.4,282266.4,109662.6,412226.8,60978.8,389503.8,29529.2,1707.0,4180.0,2927.8,155053.2,26557.8,40035.6,10556.6,62877.0,940458.8,1049044.0,2134179.4,1585943.2,495509.2,701101.8,313000.8,387928.4,11205.4,689501.2,2096392.2,892256.6,1196414.8,657495.0,2988570.2,287830.0,444325.4,145344.8,60026.8,19610.8,11291.4,46598.8,107279.4,60697.4,106596.0,60667.6,398430.6,486203.8,251760.0,477420.0,17150.4,11612.6,2.0,1073697.0,2.0,455687.0,50268.6,0.0129882,0.000464
6343269.0,4402008.4,283488.2,108516.0,415841.6,60756.8,390039.0,38109.4,269.4,3747.8,2842.6,149093.6,28060.8,38597.8,10872.8,75080.2,905901.2,1047053.6,2344603.4,1585067.0,495568.4,701049.6,313146.0,387911.2,11065.4,689906.8,2096650.6,892350.4,1196503.8,668968.4,2989020.2,283645.4,440817.4,147973.2,60404.2,19236.4,10986.8,47170.0,106726.6,61116.8,106806.4,60752.2,388338.6,496756.2,254110.0,478357.0,20056.8,11473.8,2.0,1073860.0,2.0,455698.0,38751.2,0.0242064,0.0015136
6340328.4,4024092.0,281955.0,107699.6,412499.6,60212.8,388956.6,7644.4,69.4,3768.8,2791.4,147718.2,27614.0,38790.8,10767.0,50899.0,911169.6,1047244.4,2119969.4,1584208.2,495484.4,700918.4,312948.2,387831.0,11126.0,689577.6,2096151.0,892080.8,1196174.8,673499.6,2988205.0,281454.6,443701.8,145244.2,59473.0,20154.8,11157.2,47529.8,106624.2,60985.6,106491.6,61305.4,386486.8,501264.2,252855.0,476246.4,18729.2,11184.0,2.0,1073564.0,2.0,455406.0,33630.6,0.012878400000000002,0.0015258
6340140.0,4014438.8,283298.8,109132.0,415682.8,59845.0,390642.2,4144.6,40.2,3464.0,2934.6,149109.8,27255.4,38383.6,10510.4,74887.6,902336.4,1046571.6,2079144.8,1585527.4,495617.4,700901.0,313116.6,387859.8,11075.2,689829.6,2096523.6,892218.0,1196454.6,651970.6,2988443.2,284817.8,435476.4,150060.4,58969.4,19162.0,10967.4,46165.0,107042.6,60948.8,105361.4,61018.2,388607.6,486127.4,255755.2,475972.0,24069.2,11258.8,2.0,1073725.0,2.0,455443.0,33696.4,0.003003,0.0006102
6341860.8,4087808.8,282241.2,108218.0,411668.2,60163.2,389877.0,4026.0,33.8,3717.4,2873.6,148432.6,27628.6,38236.4,10768.8,50913.0,898613.0,1050549.0,2104139.6,1583612.0,495638.8,701074.0,313010.8,387898.6,11130.4,689735.2,2096640.4,892232.0,1196478.4,685525.6,2988899.2,284256.6,437872.0,147529.8,58511.6,19941.2,11502.0,46867.2,106609.4,60813.6,106710.6,60692.2,388543.8,500828.8,255712.8,475877.2,20419.6,11385.6,2.0,1073880.0,2.0,455506.0,33555.4,0.042712400000000005,0.0006592000000000001
6336688.6,4015132.8,281689.6,107811.0,416360.0,60845.8,388880.8,4942.8,54.2,3451.8,2833.0,147514.4,26737.2,38140.2,10614.8,78352.0,907045.2,1049142.6,2076229.4,1584880.2,495708.8,701141.8,313225.2,387918.6,11129.2,689919.0,2096958.4,892426.4,1196727.0,649417.4,2989210.4,282273.6,422931.4,146700.8,59723.2,18407.2,10924.0,46542.2,107612.2,60614.2,106004.4,60523.2,385179.2,488636.6,254201.0,475950.6,24456.4,11198.0,2.0,1074049.0,2.0,455606.0,33527.8,0.0515134,0.0005858
6335528.6,4047401.2,282149.6,108109.4,413263.6,60440.4,389024.8,8278.4,60.2,3743.0,2797.8,153700.0,26941.4,38877.8,10573.6,53194.6,897059.4,1050763.4,2075476.6,1584925.4,495763.8,701221.6,313116.8,387927.4,11040.8,689909.2,2097214.4,892461.4,1196748.2,661201.2,2989728.8,284529.8,428689.2,150844.4,59200.8,19178.0,11351.0,46351.8,106484.6,60506.4,105704.4,60691.8,388590.4,497591.0,258268.8,476424.6,19531.6,11236.2,2.0,1074220.0,2.0,455717.0,33586.0,0.033776600000000004,0.0004882
6335105.6,3998460.2,282079.6,107385.6,415798.4,59448.0,388166.8,3613.0,45.4,3889.8,2944.6,153714.2,26780.2,37984.2,10565.4,74364.8,897643.4,1047077.4,2069944.6,1584002.8,495738.4,701108.4,313270.0,387897.8,10963.8,689964.0,2097213.6,892530.2,1196784.6,652647.2,2989428.6,283580.8,444579.0,149657.4,61818.0,18522.4,10855.4,46377.4,106068.0,60755.0,105530.8,60836.6,385778.4,499042.6,255791.2,484796.2,23610.8,10880.2,2.0,1074236.0,2.0,455725.0,33520.8,0.0692016,0.0005982
6336684.6,4046929.0,281759.6,108689.4,412077.8,60845.6,389033.8,3747.6,40.4,3794.0,2943.0,207878.0,27025.0,38155.8,10587.2,52654.8,933378.4,1054072.4,2076739.4,1584926.6,495782.2,701342.4,313214.8,387981.4,11071.8,690054.2,2097498.6,892619.0,1196919.6,669896.8,2990171.8,283531.6,445089.6,148216.4,59783.8,20098.4,11118.4,45872.8,106460.0,60897.2,106060.0,60523.4,389038.0,482646.0,256974.8,476135.0,22554.4,11143.0,2.0,1074405.0,2.0,455838.0,33491.4,0.07749,0.0006836
