pred energy,true energy,pred co2,true co2
0.0025702058676694683,0.0051575,2.7514696364868575e-07,5.521232687499999e-07
0.0020931903530387844,0.0006286000000000001,2.2408126026868446e-07,6.729320150000001e-08
0.002023538382631622,0.0006287,2.1662484270667173e-07,6.730390675000001e-08
0.002132352335910822,0.0025391,2.2827364844009327e-07,2.7181700275e-07
0.0019848950464212635,0.0011108,2.1248797695701232e-07,1.1891391699999998e-07
0.00195562144598211,0.0001831,2.0935416484599983e-07,1.960131275e-08
0.0024230153971722826,0.00401,2.593898558057858e-07,4.29280525e-07
0.002175133984333058,0.000763,2.328535308578147e-07,8.168105750000001e-08
0.0025060276118519624,0.0050475,2.682765209177822e-07,5.4034749375e-07
0.0023133358836059594,0.0009949,2.47648389679727e-07,1.0650653224999999e-07
0.002316979844920747,0.0010071,2.4803848484837824e-07,1.0781257275e-07
0.0021441337294852477,0.0028747,2.295348760757195e-07,3.0774382175e-07
0.002023113541984334,0.0002684999999999,2.1657936245327794e-07,2.8743596249989297e-08
0.104334775369996,0.1108701,1.1169298540296497e-05,1.186892138025e-05
0.0020777113447171835,0.0010253999999999,2.224241937303363e-07,1.0977163349998929e-07
0.0019557575045381064,0.000177,2.0936873025456564e-07,1.89482925e-08
0.0021333403648751974,0.0023559,2.2837941941080208e-07,2.5220498475e-07
0.0019765369831979893,0.0009277,2.1159322539380275e-07,9.931260425000002e-08
0.31115756259676336,0.3739554,3.331019496989001e-05,4.00328604585e-05
0.0019606198530008937,0.0005981999999999,2.098892568133782e-07,6.40388054999893e-08
0.04203321689449204,0.050720100000000004,4.499760951597609e-06,5.42971350525e-06
0.3561025226866994,0.3523246,3.812166530991789e-05,3.77172292415e-05
0.2649443593636215,0.268725,2.836295603077409e-05,2.8767683062500002e-05
0.001956482279366879,0.0001709,2.094463192119228e-07,1.829527225e-08
0.0021497543904055684,0.0011475,2.301365818788921e-07,1.2284274375e-07
0.0024114182251246713,0.0045227,2.581483495451589e-07,4.8416634175e-07
0.33928446655224476,0.3389579,3.6321250355584185e-05,3.628629058975e-05
0.0024005700638753363,0.0038573999999999,2.5698702676301446e-07,4.129443134999893e-07
0.002291314194162917,0.0005799,2.452909127706257e-07,6.207974475e-08
0.002287739203144865,0.0007262999999999,2.4490820104466566e-07,7.775223074998929e-08
0.0022978051770940217,0.0005554,2.4598578872085777e-07,5.945695849999999e-08
0.002021762510640131,0.0005067,2.1643473117030264e-07,5.4243501750000005e-08
0.0019665616021302223,0.0008604999999999,2.1052533591204565e-07,9.21186762499893e-08
0.0023040833417299483,0.0005676,2.466578819405453e-07,6.0762999e-08
0.0024106422838625205,0.0044616,2.580652830931925e-07,4.776254339999999e-07
0.004572539715111441,0.010906899999999902,4.895018078519676e-07,1.1676109122499895e-06
0.0023982294926869563,0.0042358,2.567364627658704e-07,4.534529795e-07
0.0021136730147454912,0.0018921,2.2627398041104173e-07,2.0255403525000002e-07
0.0019762921419048834,0.0007995999999999,2.1156701452127255e-07,8.559917899998929e-08
0.7008492729687588,0.7747295000000001,7.502766679448806e-05,8.293672979875e-05
0.04225017190977438,0.0524656999999999,4.5229865283711215e-06,5.6165843492499895e-06
0.0023138411499537747,0.0008118,2.477024797054265e-07,8.69052195e-08
0.25249222455248005,0.257348,2.7029923868904374e-05,2.7549746770000004e-05
0.0023416033789611266,0.0020507999999999,2.50674495726236e-07,2.195432669999893e-07
0.002320147869317053,0.0017028999999999,2.483776297800638e-07,1.8229970224998932e-07
0.001964202843043006,0.0003355999999999,2.102728248548614e-07,3.592681899998929e-08
0.0023201734434967407,0.0027648,2.4838036755993485e-07,2.95978752e-07
0.0021244212545987844,0.002655,2.274246063579364e-07,2.842243875e-07
0.0019602597298341135,0.0002564,2.0985070472806643e-07,2.7448261e-08
0.0019682041348055047,0.0008301,2.107011731412663e-07,8.886428024999999e-08
0.29911742787838225,0.3038078999999999,3.202126844795052e-05,3.252339521474999e-05
0.0021223983362118545,0.0024780999999999003,2.2720804788731955e-07,2.6528680024998933e-07
0.0023135800973621374,0.0005738,2.476745333728602e-07,6.14267245e-08
0.0021159166812458946,0.0017516999999999997,2.2651417051907613e-07,1.8752386425e-07
0.002446122967206494,0.0046996999999999005,2.618635789468732e-07,5.031146342499894e-07
0.0023203391985290533,0.0018433,2.4839811205053145e-07,1.9732987325000002e-07
0.0022864081102557127,0.0005677,2.447657042231497e-07,6.077370425e-08
0.0020197316300203222,0.0002747,2.1621732032275055e-07,2.9407321750000002e-08
0.00467232465039873,0.005658,5.001840346368101e-07,6.05703045e-07
0.0024292859356499635,0.0042358,2.600611326261677e-07,4.534529795e-07
0.003022995730052504,0.0039306,3.236192503914457e-07,4.2078055650000005e-07
0.002068608999458786,0.0023682000000000004,2.214497649145617e-07,2.535217305000001e-07
0.0024392986723375015,0.0047852,2.611330211204104e-07,5.12267623e-07
0.001962557010503849,0.0005005,2.100966343669633e-07,5.357977625e-08
0.001957935259672679,0.0002319,2.0960186438610947e-07,2.482547475e-08
0.002024086118641871,0.0004394999999999,2.1668347921590894e-07,4.7049573749989296e-08
0.0021367153062986804,0.0026549999999999,2.2874071532753948e-07,2.8422438749998933e-07
0.003366897984261191,0.0049377,3.6043484646012117e-07,5.285931292499999e-07
0.002149169677680561,0.0020873,2.3007398691989822e-07,2.2345068325e-07
0.001963162478386656,0.0008179,2.101614512174875e-07,8.755823975e-08
0.0019578626848282123,0.0002928999999999,2.095940950675722e-07,3.135567724998929e-08
0.13288894375897004,0.1426203999999999,1.422609365175714e-05,1.526787037099999e-05
