index,cycles,cpu energy,dram energy,total energy,total time
1,6788050,570677.0,17822.0,588499.0,0.03061819076538086
2,5216059,78002.0,1343.0,79345.0,0.0014157295227050781
3,4867955,39611.0,610.0,40221.0,0.0011775493621826172
4,4783274,38391.0,428.0,38819.0,0.0011980533599853516
5,4886840,69824.0,671.0,70495.0,0.0012254714965820312
6,5286345,46509.0,1098.0,47607.0,0.0013778209686279297
7,4894237,37964.0,611.0,38575.0,0.0012233257293701172
8,4868231,43457.0,549.0,44006.0,0.0012264251708984375
9,5125395,86060.0,1403.0,87463.0,0.0013353824615478516
10,4865040,29053.0,488.0,29541.0,0.0011906623840332031
11,4770836,38452.0,489.0,38941.0,0.001123189926147461
12,4791923,37475.0,427.0,37902.0,0.0011639595031738281
13,4760687,36438.0,428.0,36866.0,0.0012202262878417969
14,6095762,66834.0,2808.0,69642.0,0.001657247543334961
15,4945106,40100.0,1038.0,41138.0,0.001279592514038086
16,4773336,38879.0,1586.0,40465.0,0.001195669174194336
17,4751325,35462.0,1465.0,36927.0,0.0011703968048095703
18,4696572,67993.0,1282.0,69275.0,0.0011479854583740234
19,4739224,78857.0,1648.0,80505.0,0.0012423992156982422
20,4752223,72449.0,1160.0,73609.0,0.0011761188507080078
21,4755976,34484.0,549.0,35033.0,0.0011606216430664062
22,4681915,37231.0,549.0,37780.0,0.0010955333709716797
23,4722132,35827.0,488.0,36315.0,0.0011775493621826172
24,4931752,30883.0,732.0,31615.0,0.001262664794921875
25,4734526,34118.0,488.0,34606.0,0.0011606216430664062
26,4730117,40283.0,1099.0,41382.0,0.001176595687866211
27,4791093,70251.0,915.0,71166.0,0.0012040138244628906
28,4702407,80688.0,1099.0,81787.0,0.0011744499206542969
29,4698493,32654.0,489.0,33143.0,0.0011205673217773438
30,4737210,31616.0,488.0,32104.0,0.0012054443359375
31,4704510,37537.0,550.0,38087.0,0.001127004623413086
32,4795495,37720.0,549.0,38269.0,0.0011522769927978516
33,4742456,43273.0,549.0,43822.0,0.0011546611785888672
34,4732393,41687.0,550.0,42237.0,0.0012004375457763672
35,4669897,36682.0,488.0,37170.0,0.0011806488037109375
36,4892494,78125.0,915.0,79040.0,0.0012619495391845703
37,4790921,73547.0,916.0,74463.0,0.0012700557708740234
38,4791162,38635.0,427.0,39062.0,0.0011687278747558594
39,4932225,36316.0,550.0,36866.0,0.0012683868408203125
40,4773028,39551.0,427.0,39978.0,0.0012080669403076172
41,4765390,34424.0,428.0,34852.0,0.0011897087097167969
42,4807760,40039.0,427.0,40466.0,0.0011601448059082031
43,4774975,74707.0,855.0,75562.0,0.001287698745727539
44,4803926,73303.0,366.0,73669.0,0.001188516616821289
45,4786411,38208.0,427.0,38635.0,0.0012080669403076172
46,4755420,35156.0,427.0,35583.0,0.0011475086212158203
47,4830563,40527.0,427.0,40954.0,0.0012373924255371094
48,4817084,34241.0,305.0,34546.0,0.0011866092681884766
49,4759552,34729.0,366.0,35095.0,0.0011751651763916016
50,4709535,37597.0,366.0,37963.0,0.0011706352233886719
51,4778722,79956.0,733.0,80689.0,0.00116729736328125
52,4727188,77331.0,854.0,78185.0,0.0011584758758544922
53,4718367,81848.0,733.0,82581.0,0.0011470317840576172
54,4826199,76721.0,488.0,77209.0,0.0012481212615966797
55,4834641,32409.0,427.0,32836.0,0.0011632442474365234
56,4743425,36805.0,366.0,37171.0,0.0011937618255615234
57,4788021,40711.0,367.0,41078.0,0.0012271404266357422
58,5186558,80810.0,1587.0,82397.0,0.0013401508331298828
59,4794372,77392.0,1037.0,78429.0,0.0012133121490478516
60,4773176,83374.0,916.0,84290.0,0.0012192726135253906
61,4725297,34912.0,366.0,35278.0,0.0011811256408691406
62,4821779,44555.0,610.0,45165.0,0.0011985301971435547
63,4778816,31861.0,427.0,32288.0,0.0011823177337646484
64,5067480,46142.0,915.0,47057.0,0.0013136863708496094
65,4830841,40039.0,550.0,40589.0,0.0011670589447021484
66,4866691,30518.0,366.0,30884.0,0.001239776611328125
67,4740137,35523.0,367.0,35890.0,0.0011756420135498047
68,4788872,77881.0,427.0,78308.0,0.0011942386627197266
69,4781039,37659.0,488.0,38147.0,0.0012295246124267578
70,5039643,39062.0,672.0,39734.0,0.00128173828125
71,4781299,38818.0,488.0,39306.0,0.001190185546875
72,4794377,35461.0,427.0,35888.0,0.0011568069458007812
73,4733357,31616.0,366.0,31982.0,0.0011780261993408203
74,4859276,39795.0,915.0,40710.0,0.0011959075927734375
75,4785605,79712.0,489.0,80201.0,0.001219034194946289
76,4989259,80078.0,854.0,80932.0,0.00125885009765625
77,4909272,45227.0,671.0,45898.0,0.0011937618255615234
78,4815427,36194.0,488.0,36682.0,0.0012111663818359375
79,4760599,40161.0,427.0,40588.0,0.0012097358703613281
80,4702885,41443.0,427.0,41870.0,0.0011601448059082031
81,5454236,84290.0,2624.0,86914.0,0.001434326171875
82,5191830,32837.0,1282.0,34119.0,0.00130462646484375
83,5254518,43335.0,1465.0,44800.0,0.0013344287872314453
84,5700170,69397.0,4272.0,73669.0,0.0014920234680175781
85,5316978,47119.0,1892.0,49011.0,0.0013928413391113281
86,5156015,93078.0,2686.0,95764.0,0.0013141632080078125
87,5937004,69397.0,3662.0,73059.0,0.001893758773803711
88,5399629,33265.0,1648.0,34913.0,0.0015149116516113281
89,5034176,39062.0,1159.0,40221.0,0.0012326240539550781
90,5458529,80505.0,3540.0,84045.0,0.0014274120330810547
91,5971857,42358.0,2136.0,44494.0,0.0016543865203857422
92,5962312,64270.0,3113.0,67383.0,0.0015845298767089844
93,5410880,72204.0,3601.0,75805.0,0.001535654067993164
94,4991340,36804.0,976.0,37780.0,0.001219034194946289
95,5244516,67383.0,2381.0,69764.0,0.001402139663696289
96,5067877,85449.0,1465.0,86914.0,0.0013234615325927734
97,6887976,70679.0,5127.0,75806.0,0.0020482540130615234
98,6320164,77148.0,4150.0,81298.0,0.0017635822296142578
99,5887550,70679.0,3417.0,74096.0,0.0016453266143798828
100,6196775,72449.0,4090.0,76539.0,0.0020852088928222656
101,8145548,73669.0,4090.0,77759.0,0.0024039745330810547
102,7810757,58228.0,2746.0,60974.0,0.00232696533203125
103,5415252,78552.0,2930.0,81482.0,0.0014498233795166016
104,5189925,34729.0,1160.0,35889.0,0.0013918876647949219
105,5127475,75440.0,2136.0,77576.0,0.0013573169708251953
106,5143063,37720.0,1220.0,38940.0,0.0013442039489746094
107,6008037,93384.0,3723.0,97107.0,0.0015702247619628906
108,7111437,91980.0,5493.0,97473.0,0.0019757747650146484
109,6281438,69397.0,5188.0,74585.0,0.0018434524536132812
110,5724771,38757.0,2075.0,40832.0,0.001466512680053711
111,5189634,37903.0,1099.0,39002.0,0.0013055801391601562
112,5499391,43762.0,1648.0,45410.0,0.0014300346374511719
113,5043314,68542.0,2319.0,70861.0,0.001325845718383789
114,5575335,84839.0,4151.0,88990.0,0.0015082359313964844
115,5598311,88012.0,4700.0,92712.0,0.0014421939849853516
116,5216982,31982.0,1159.0,33141.0,0.0013153553009033203
117,5088136,41138.0,1404.0,42542.0,0.0012836456298828125
118,4879042,30518.0,1953.0,32471.0,0.0012395381927490234
119,5736895,76294.0,2625.0,78919.0,0.0015876293182373047
120,5248322,84778.0,2685.0,87463.0,0.0013675689697265625
121,5675280,51025.0,2625.0,53650.0,0.0015206336975097656
122,5046871,76843.0,3113.0,79956.0,0.0012769699096679688
123,4817644,75256.0,1709.0,76965.0,0.00121307373046875
124,4752686,74951.0,794.0,75745.0,0.0012629032135009766
125,4770943,36255.0,855.0,37110.0,0.0012531280517578125
126,4903932,35950.0,855.0,36805.0,0.0012726783752441406
127,5558348,44556.0,1282.0,45838.0,0.0014340877532958984
128,4973192,77637.0,1464.0,79101.0,0.0012218952178955078
129,4969091,43457.0,854.0,44311.0,0.001216888427734375
130,4785119,36072.0,610.0,36682.0,0.001207590103149414
131,4894539,39306.0,672.0,39978.0,0.0012691020965576172
132,5027804,33508.0,671.0,34179.0,0.0012900829315185547
133,5065046,63171.0,1404.0,64575.0,0.00131988525390625
134,4975739,89172.0,1343.0,90515.0,0.0012929439544677734
135,4858140,82581.0,549.0,83130.0,0.0011463165283203125
136,4786310,75683.0,1160.0,76843.0,0.001271963119506836
137,4820439,40649.0,672.0,41321.0,0.0012009143829345703
138,4875791,37597.0,671.0,38268.0,0.0012173652648925781
139,5221794,47729.0,1098.0,48827.0,0.0013318061828613281
140,4841073,39673.0,671.0,40344.0,0.001186370849609375
141,4748259,34974.0,488.0,35462.0,0.0011570453643798828
142,4952669,76660.0,1221.0,77881.0,0.0012602806091308594
143,4788546,33508.0,611.0,34119.0,0.0012118816375732422
144,4897278,33264.0,671.0,33935.0,0.0012083053588867188
145,5138631,26795.0,1404.0,28199.0,0.0013518333435058594
146,4865239,72266.0,1159.0,73425.0,0.001219034194946289
147,4829496,86914.0,1221.0,88135.0,0.0011858940124511719
148,4847153,69641.0,1099.0,70740.0,0.0012781620025634766
149,4824880,38452.0,671.0,39123.0,0.0012965202331542969
150,4841672,32044.0,549.0,32593.0,0.0012021064758300781
151,5161040,35522.0,610.0,36132.0,0.00131988525390625
152,4811430,35400.0,489.0,35889.0,0.0011374950408935547
153,4742162,30822.0,366.0,31188.0,0.0012087821960449219
154,4778941,33936.0,367.0,34303.0,0.0011668205261230469
155,4751152,77698.0,793.0,78491.0,0.0011835098266601562
156,4920730,76659.0,1099.0,77758.0,0.0012679100036621094
157,5221723,38391.0,672.0,39063.0,0.0013265609741210938
158,4826472,39246.0,488.0,39734.0,0.0011911392211914062
159,4826678,42969.0,427.0,43396.0,0.0011639595031738281
160,4809996,31433.0,427.0,31860.0,0.0012428760528564453
161,4865538,80749.0,1037.0,81786.0,0.0013129711151123047
162,4831866,39673.0,489.0,40162.0,0.001232147216796875
163,5095304,46021.0,733.0,46754.0,0.0012922286987304688
164,5521093,86425.0,2197.0,88622.0,0.0014982223510742188
165,5341916,47791.0,1953.0,49744.0,0.0015797615051269531
166,5682289,93871.0,3357.0,97228.0,0.0015177726745605469
167,5123299,40100.0,1281.0,41381.0,0.0013103485107421875
168,5477673,78979.0,3174.0,82153.0,0.0015435218811035156
169,5274023,46326.0,977.0,47303.0,0.001373291015625
170,5115289,72205.0,2380.0,74585.0,0.0013184547424316406
171,5551547,43762.0,1648.0,45410.0,0.0014796257019042969
172,5005941,72998.0,2015.0,75013.0,0.0012738704681396484
173,5715086,43030.0,1953.0,44983.0,0.0015614032745361328
174,5467144,84350.0,2991.0,87341.0,0.0014002323150634766
175,5148859,32592.0,1160.0,33752.0,0.0013592243194580078
176,5269212,41137.0,1404.0,42541.0,0.0014221668243408203
177,5127245,70312.0,2258.0,72570.0,0.001306772232055664
