pred,true
3777.527168339808,3588.6
1237.4913362175835,1269.2
4081.9971038681765,4052.4
4430.119893440082,3259.2
3739.642255652439,2942.0
803.2213314791611,537.2
1072.0752155946197,1220.6
3817.35753046292,3466.8
4161.984927659374,3674.4
2077.6819194604254,2050.4
1370.71931277859,1684.6
3500.4635281702817,3064.0
1395.067208953405,1599.0
3996.4594665458976,3637.8
4578.913493725475,4077.2
2133.5469815437823,1757.8
1848.5993941679703,1538.2
1571.867278790925,1489.2
3273.5644937524435,3979.6
3732.0018814444115,4993.0
3318.8875099596567,3613.2
3887.9157049703194,4345.6
3947.16645016799,3784.0
3952.12733700987,3674.4
3824.4497271358828,4236.0
1552.4913325767607,2111.6
3627.13125968586,3796.6
3609.63973136889,2392.6
2153.7948859023522,2075.2
2118.431811138655,1684.6
3695.1026926394693,2636.8
2376.9680463036934,1355.2
1779.3695314542488,1477.0
1201.0732086938328,1293.8
877.246503023835,549.4
2092.66636067875,1586.8
946.8753755545372,732.6
4263.904093715342,3686.6
2949.794578758799,2746.8
2190.5205681279144,2331.2
2593.8887007467315,2795.6
827.2884088225251,610.4
1698.7404155450045,1379.2
4164.245491594755,4675.0
2590.183477885272,2868.8
2768.580877687899,2295.2
2236.816954401595,1355.2
1234.7386478822405,1086.6
3603.1812670161476,4333.4
1295.380764650578,1476.6
3547.645517101518,3234.6
4330.06725990596,3540.0
2860.2117120581893,2258.4
3095.5091287051287,3698.6
1462.6173214671812,1221.2
1330.6794889400949,1587.2
2221.8813752911724,2087.4
3126.7954442019986,1794.4
1671.6016632750893,2392.4
4497.589982728086,4601.6
2977.465282656249,2087.4
1609.359266376638,1806.6
3842.6686555119945,3393.6
1546.7748347228749,2050.8
2103.276075964704,2197.6
3446.1845485479475,3149.4
2413.4993864095254,2453.4
2601.57590882422,2868.4
2348.489181580079,2612.6
1825.7745206771901,1696.8
2106.0735699310676,1770.2
4912.900752059355,5566.2
4599.05906423542,4748.6
4257.496704094257,4089.4
4354.695237370974,4431.2
1575.3208157003614,1843.2
3129.933497841172,3808.2
3645.64059492969,3637.4
4346.372084349512,4565.4
4391.886308126137,4821.8
4927.301060606613,4297.0
1899.8326971928614,2319.0
3038.63529457524,4382.6
2748.698240634059,2185.2
2433.14896042794,2197.2
4042.959229819638,2502.4
2236.766801596504,1404.0
1902.5497991628285,1464.6
1739.951270505327,1306.0
1425.0681744344888,1318.6
2935.6430059985582,4004.0
3629.941845009434,3576.6
1526.984943481391,1220.4
3658.3032562887715,3186.0
3352.2907532332088,3198.0
4124.945052860736,3320.2
4645.439345826442,4626.6
3161.3440890388943,3381.4
1232.5769144745386,1428.6
4736.088881561815,3589.0
3396.0616138769615,3186.2
4456.6219632247685,5126.8
2022.2488721650448,1428.4
2816.855718368321,2538.8
3411.1249720091805,3137.0
1637.63973250364,2148.0
2455.6426778968657,2636.6
4441.383070274731,3967.2
2953.190771835944,3784.2
3518.998677357909,2380.4
2633.073529889602,2783.4
3596.6350352544955,5114.6
1296.8132541460086,1318.4
3292.5840231568923,3222.4
1943.1199151610422,1391.6
3695.077800622236,4944.0
2421.8485377600987,2673.2
2051.1346752740906,2062.8
2842.400275223447,2710.0
1596.5931648570545,1891.8
4230.449775710134,3735.4
3347.0556854311412,3137.2
1956.8499830961368,2246.0
4305.137628069146,4309.2
3769.07236420498,2734.2
3716.6921845342426,2685.6
1808.8055403368003,1648.0
1664.7987671579672,2587.8
1859.2563120940117,2343.6
2866.3598559294264,2978.4
2955.372787628057,2013.8
2432.08634787006,2929.6
5032.059391709647,4907.2
1514.1546758729405,1611.2
2014.5804713894663,1733.2
3423.9827130292438,3454.6
1838.2909644831911,842.4
3795.801781080397,3552.4
3969.188510006679,3869.4
3614.3153741318106,3540.0
951.4898023935953,696.0
3284.8951556115894,3686.4
1536.4512854424433,1208.2
1064.217266717446,1147.6
4119.701872104903,4260.0
4417.084404978443,4724.2
1460.5912956497282,1660.0
1971.1936853523544,1782.2
1631.125399401109,1233.4
1251.4592612062384,1086.6
2833.830967809347,4004.0
4063.227047791994,2954.0
4609.9330036746705,3368.8
1875.0680902110357,1147.2
2241.004160470811,1953.4
3847.180932887742,3259.2
2809.6888456436595,2404.8
1933.8300299443758,1782.0
1577.979098755533,1269.6
1501.7383532918097,1245.6
2130.0715027821166,1403.6
2176.5294105898424,2746.4
3277.7590752341716,3784.4
4695.244400218098,4834.0
2067.9139231275717,1709.2
3448.481805160584,2734.4
3447.32460293722,3759.6
2155.512435091429,1916.2
3443.210229066574,3564.6
4152.724912863385,5505.2
5033.324643726335,5188.0
885.1560797886045,696.0
4438.938674182449,3552.2
4961.930650595845,5334.4
972.1230720559956,635.0
3642.7553335544167,3589.2
1553.598013224408,1647.8
1973.4795100755941,1586.8
3472.853302655442,3003.0
4315.737570933519,4358.0
2648.9146252713676,3076.0
3948.5316390242356,3295.8
3650.7041843908205,5029.4
