pred,true
46824.24485505553,53711.0
47069.055887651135,45044.0
44024.65493858932,155640.0
49768.52938584704,70069.0
48958.084351287514,71350.0
48552.18687638498,35217.0
49399.73047456759,65490.0
49832.71349380163,39490.0
45206.12578542861,64636.0
48714.11012839769,67749.0
48909.405902462866,30945.0
48994.42645730276,60791.0
48466.04713160937,72754.0
46832.723149276266,55786.0
49324.82739674659,67627.0
49470.03856027301,70800.0
48752.31066364978,22095.0
45806.057506458514,58959.0
47972.66458823413,34607.0
49120.22914551314,82519.0
47190.02941477478,49255.0
46348.75901966777,53467.0
46619.59265312774,41565.0
46345.838794850875,49072.0
47075.18675272465,40222.0
46747.56599586985,45715.0
46713.66200208381,35583.0
49318.02501771165,60852.0
50425.44681474242,36682.0
46933.18508156774,47546.0
46191.830224486155,45105.0
48085.73491258093,38269.0
44365.28929165052,105530.0
47767.73918917332,55054.0
48075.0056117305,45532.0
48455.68745040951,45715.0
48218.05071227363,24353.0
46837.93111311048,46326.0
45510.86915211019,60363.0
50497.74418881564,32654.0
44909.50257218833,98998.0
50553.63825603611,47668.0
50298.15187328441,36865.0
47789.06004442054,40893.0
49115.78797027079,29053.0
45352.13013895049,55420.0
46787.92800255678,45776.0
45695.60321684352,65430.0
47718.685381262534,37049.0
49335.95386653831,56275.0
48380.445745890014,35217.0
49117.75085723497,33936.0
48418.65890790036,24048.0
48424.09070972171,34301.0
48287.996065651176,35828.0
44367.900734833864,235046.0
46334.053437855975,39673.0
48135.00107960772,28076.0
45337.2213811196,71411.0
50005.935398673086,30152.0
47335.0293670723,43579.0
48642.36947957455,62622.0
49762.379006692594,83374.0
49239.75403909947,58410.0
46583.973715994034,46386.0
45866.543122133226,55786.0
48388.148068421986,43030.0
48088.11218679311,63233.0
44857.469997217864,51635.0
46750.91667835433,36072.0
47950.0902402589,21789.0
49598.78098738121,30884.0
45624.108215862674,65246.0
49506.869666198625,63721.0
46718.131874504004,47241.0
41735.962027077025,138366.0
49787.51543870529,38086.0
50348.21811762935,35034.0
45324.731221436974,53649.0
44229.873048864094,98450.0
49469.085813968755,24597.0
50502.224392219854,41870.0
47383.49545678094,34729.0
47742.689996581255,41259.0
46649.56398566273,35766.0
46737.673504725215,53223.0
44938.21696833398,111633.0
48707.12179165035,66406.0
48997.650872204744,34241.0
49140.73614879685,31494.0
47880.439893869545,22644.0
47173.98539658858,47058.0
48060.3585721615,41565.0
46732.65264649051,38513.0
46977.37643966549,32227.0
46851.10541351278,50842.0
49356.15667973692,31189.0
49857.36896111374,79590.0
46031.91118337372,47912.0
48993.22002794641,70922.0
46195.193533728874,54077.0
50361.92159399101,37720.0
49739.13429264305,36560.0
46939.60636208098,36438.0
46020.91901637429,59448.0
45989.29587428288,63293.0
47414.99921861254,46997.0
46925.71004068425,42908.0
47723.39286631523,78491.0
47598.09754420905,43884.0
46367.64520634714,43213.0
48690.37756232488,34728.0
49185.3418941426,84045.0
48826.04174872783,22338.0
48461.035456471574,22644.0
46247.85859449892,37414.0
47779.265123680554,34485.0
46447.7355860343,54748.0
46268.39429496047,45288.0
45089.30072233336,65552.0
48165.35810221287,78918.0
50153.82573072255,32166.0
47356.994186990225,34668.0
47532.8080209641,23255.0
47541.3850334766,39978.0
48864.21588257632,36866.0
47558.58497398616,36071.0
48000.64089296576,47180.0
49529.98466900434,62622.0
47781.78014434636,31921.0
48622.31933536203,68420.0
46431.008575015534,47058.0
48391.0786242229,40222.0
49362.758178526994,71167.0
49518.615995031665,29297.0
47642.167226272766,44861.0
47441.095284252166,55786.0
47464.38706167337,32043.0
